,NTLA
% Above Low,0.3398
% Held by Institutions,0.8291
52-Wk Range,['37.08 - 130.33']
Annual Dividend $,
Annual Dividend %,
Ask,51.5
Ask Size,400.0
Ask close,60.57
B/A Ratio,0.5
B/A Size,200x400
Beta,1.8
Bid,46.66
Bid Size,200.0
Bid close,38.12
Change Since Close,-0.92| |(-1.85%)
Closing Price,49.68
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.87
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),10.0
Last (time),1:00p ET 11/25/22
Last Trade,48.76
Market Cap,3.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,49.68
Short Interest,0.0904
Today's Open,
Volume,335.0
Volume 10-day Avg,811972.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.7375328083989501
Growth 1yr High Est,0.5166163141993956
Growth 1yr Consensus Est,0.6270745612991728
Growth 2yr Low Est,0.47375129845929376
Growth 2yr High Est,0.21149540809571377
Growth 2yr Consensus Est,0.34262335327750376
Growth 5yr Low Est,0.4083358262207974
Growth 5yr High Est,0.2757984654691767
Growth 5yr Consensus Est,0.3420671458449871
Growth 5yr Actual/Est,0.326270323112506
Growth 3yr Historic,0.1781101895734597
Price/Earnings (TTM),
Price/Sales (TTM),76.04807
Price/Book (MRQ),4.61226
Price/Cash Flow (TTM),
5yr Low,9.18
5yr High,202.73
5yr Avg Return,0.4860999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.14935980000000001
Dividend Growth 5yr,
Short Int Current Month,6652989.0
Short Int Prev Month,7008895.0
Short Int Pct of Float,0.0904016
Days to Cover,7.31596
Float,71.29312
Shares Outstanding,78.68404
Institutions Holding Shares,445.0
FCF Growth 5yr,0.3091122868900647
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-8.3361
Net Profit Margin (TTM),-8.5992
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.12140000000000001
EPS Growth (TTM),-0.7493000000000001
Revenue Growth (MRQ),-0.0545
Revenue Growth (TTM),0.9184000000000001
Return On Equity (TTM),-0.4576
Return On Assets (TTM),-0.3654
Return On Investment (TTM),-0.4035
Revenue Per Employee (TTM),105984.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2018-05-08 00:00:00
theStreet since,2018-05-08 00:00:00
ford since,2022-08-19 00:00:00
cfra since,
marketEdge opinion since,
