,WDAY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),6.72,9.39,Valuation,0.7156549520766773
Price/Book (MRQ),7.41,12.63,Valuation,0.5866983372921615
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7223,0.7206,Profitability,1.002359145156814
Operating Profit Margin (TTM),-0.032400000000000005,0.2172,Profitability,-0.14917127071823205
Net Profit Margin (TTM),-0.0346,0.1553,Profitability,-0.22279459111397296
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.3785,-0.0752,Gowth rates,-5.033244680851063
EPS Growth (TTM),-3.3914999999999997,-0.2824,Gowth rates,12.009560906515581
Revenue Growth (MRQ),0.0705,0.15560000000000002,Gowth rates,0.4530848329048842
Revenue Growth (TTM),0.21420000000000003,0.1906,Gowth rates,1.1238195173137462
Return On Equity (TTM),-0.04360000000000001,0.2189,Effectiveness,-0.19917770671539517
Return On Assets (TTM),-0.0175,0.10740000000000001,Effectiveness,-0.16294227188081936
Return On Investment (TTM),-0.029700000000000004,0.1387,Effectiveness,-0.2141312184571017
Revenue Per Employee (TTM),373280.0,667721.0,Effectiveness,0.5590358847482706
Total Debt/Total Capital (MRQ),0.4457,0.39659999999999995,Financial strength,1.1238023197175997
Change in Debt/Total Capital Quarter over Quarter,0.0053,0.0004,Financial strength,13.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-2.28,0.28,Financial strength,-8.14285714285714
