,WDAY
% Above Low,0.12840000000000001
% Held by Institutions,0.8706
52-Wk Range,['128.72 - 285.58']
Annual Dividend $,
Annual Dividend %,
Ask,145.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,141.5
Bid Size,100.0
Closing Price,145.25
Day Change $,-3.73
Day Change %,-0.025
Day High,150.59
Day Low,144.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.473
Last (size),60.0
Last (time),4:00p ET 11/28/22
Market Cap,37.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,148.98
Short Interest,0.0223
Today's Open,148.44
Volume,3135471.0
Volume 10-day Avg,1919993.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.16363636363636358
Growth 1yr High Est,-0.10837438423645307
Growth 1yr Consensus Est,-0.13600537393640832
Growth 2yr Low Est,0.033088650479954795
Growth 2yr High Est,0.15713877473260218
Growth 2yr Consensus Est,0.09511371260627849
Growth 5yr Low Est,0.3229027067428676
Growth 5yr High Est,0.3517652636549608
Growth 5yr Consensus Est,0.3373339851989142
Growth 5yr Actual/Est,0.2699109889374722
Growth 3yr Historic,0.2300713455812941
Price/Earnings (TTM),
Price/Sales (TTM),6.72186
Price/Book (MRQ),7.4086
Price/Cash Flow (TTM),238.6245
5yr Low,95.35
5yr High,307.81
5yr Avg Return,0.1043333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.2669139
Dividend Growth 5yr,
Short Int Current Month,4441449.0
Short Int Prev Month,5832293.0
Short Int Pct of Float,0.0222952
Days to Cover,1.62961
Float,199.3317
Shares Outstanding,256.0
Institutions Holding Shares,1094.0
FCF Growth 5yr,-0.012632370202542783
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7223
Operating Profit Margin (TTM),-0.032400000000000005
Net Profit Margin (TTM),-0.0346
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3785
EPS Growth (TTM),-3.3914999999999997
Revenue Growth (MRQ),0.0705
Revenue Growth (TTM),0.21420000000000003
Return On Equity (TTM),-0.04360000000000001
Return On Assets (TTM),-0.0175
Return On Investment (TTM),-0.029700000000000004
Revenue Per Employee (TTM),373280.0
Total Debt/Total Capital (MRQ),0.4457
Change in Debt/Total Capital Quarter over Quarter,0.0053
Quick Ratio (MRQ),
Interest Coverage (MRQ),-2.28
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-06-24 00:00:00
theStreet since,2022-08-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-22 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
