,CHRW
% Above Low,0.1408
% Held by Institutions,0.9648
52-Wk Range,['86.57 - 121.23']
Annual Dividend $,2.44
Annual Dividend %,0.024700000000000003
Ask,99.14
Ask Size,100.0
B/A Ratio,14.0
B/A Size,1400x100
Beta,0.8
Bid,98.36
Bid Size,1400.0
Closing Price,98.76
Day Change $,0.7
Day Change %,0.0070999999999999995
Day High,98.79
Day Low,97.79
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",8.24
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.344
Last (size),3100.0
Last (time),12:59p ET 11/25/22
Market Cap,11.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.98
Prev Close,98.06
Short Interest,0.10619999999999999
Today's Open,98.16
Volume,365987.0
Volume 10-day Avg,1275038.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,0.24065040650406488
Growth 1yr High Est,0.2575757575757578
Growth 1yr Consensus Est,0.24911308203991134
Growth 2yr Low Est,-0.08544150710183385
Growth 2yr High Est,0.029390288426433098
Growth 2yr Consensus Est,-0.028025609337700375
Growth 5yr Low Est,0.10005333282782067
Growth 5yr High Est,0.16290428316769928
Growth 5yr Consensus Est,0.13147880799775996
Growth 5yr Actual/Est,0.14058028465535227
Growth 3yr Historic,0.14601618035773856
Price/Earnings (TTM),11.97945
Price/Sales (TTM),0.44486
Price/Book (MRQ),7.09951
Price/Cash Flow (TTM),9.97177
5yr Low,56.94
5yr High,121.23
5yr Avg Return,0.040649999999999985
EPS Growth 5yr,0.1193187
Revenue Growth 5yr,0.119392
Dividend Growth 5yr,0.0363413
Short Int Current Month,12382423.0
Short Int Prev Month,12684589.0
Short Int Pct of Float,0.10621140000000001
Days to Cover,5.66759
Float,116.764
Shares Outstanding,117.7095
Institutions Holding Shares,928.0
FCF Growth 5yr,-1.650976800976801
"Price/Earnings (TTM, GAAP)",11.98
"PEG Ratio (TTM, GAAP)",2.81
Gross Profit Margin (TTM),0.1409
Operating Profit Margin (TTM),0.053200000000000004
Net Profit Margin (TTM),0.041100000000000005
Annual Dividend Yield,0.024700000000000003
Dividend Change %,0.0196
"Dividend Growth Rate, 3 Years",0.034300000000000004
EPS Growth (MRQ),-0.3354
EPS Growth (TTM),0.45920000000000005
Revenue Growth (MRQ),-0.1152
Revenue Growth (TTM),0.2356
Return On Equity (TTM),0.5922
Return On Assets (TTM),0.1604
Return On Investment (TTM),0.3166
Revenue Per Employee (TTM),1548359.0
Total Debt/Total Capital (MRQ),0.5774
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),18.01
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-03 00:00:00
cfra since,2022-11-03 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-27 00:00:00
