,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,43.25,75.58,107.43,170.0,187.35,174.79,,,,,
low,37.5,38.53,60.13,44.27,112.49,67.67,,,,,
change,0.021800000000000003,0.6362,0.3616,0.5372,0.2992,-0.11750000000000001,,,,,
Date,,,,,,,2021-12-25 00:00:00,2022-03-26 00:00:00,2022-06-25 00:00:00,2022-09-24 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,49.0,287.0,166.0,174.0,Balance Sheet
"Total Receivables, Net",,,,,,,7.0,6.0,7.0,9.0,Balance Sheet
Prepaid Expenses,,,,,,,5.0,4.0,6.0,6.0,Balance Sheet
Restricted Cash - Current,,,,,,,3.0,10.0,17.0,13.0,Balance Sheet
Other Current Assets,,,,,,,6.0,17.0,14.0,22.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,10.0,27.0,31.0,35.0,Balance Sheet
Total Current Assets,,,,,,,70.0,324.0,209.0,223.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,55.0,57.0,61.0,63.0,Balance Sheet
"Goodwill, Net",,,,,,,57.0,57.0,57.0,59.0,Balance Sheet
Intangibles - Net,,,,,,,43.0,43.0,42.0,42.0,Balance Sheet
Other Long Term Assets,,,,,,,25.0,26.0,26.0,24.0,Balance Sheet
Total Assets,,,,,,,249.0,507.0,395.0,411.0,Balance Sheet
Accounts Payable,,,,,,,5.0,5.0,3.0,3.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,0.0,5.0,7.0,7.0,Balance Sheet
Dividends Payable,,,,,,,,120.0,,,Balance Sheet
Other Current Liabilities,,,,,,,34.0,41.0,43.0,50.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,34.0,162.0,43.0,50.0,Balance Sheet
Total Current Liabilities,,,,,,,40.0,171.0,53.0,61.0,Balance Sheet
Total Long Term Debt,,,,,,,469.0,711.0,710.0,708.0,Balance Sheet
Total Debt,,,,,,,469.0,716.0,716.0,715.0,Balance Sheet
Deferred Income Tax,,,,,,,7.0,7.0,6.0,7.0,Balance Sheet
"Other Liabilities, Total",,,,,,,42.0,42.0,43.0,42.0,Balance Sheet
Total Liabilities,,,,,,,559.0,932.0,811.0,818.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,0.0,0.0,1.0,1.0,Balance Sheet
