,WING
% Below High,0.1456
% Held by Institutions,1.1584
52-Wk Range,['67.67 - 178.68']
Annual Dividend $,0.76
Annual Dividend %,0.0049
Ask,153.53
Ask Size,200.0
B/A Ratio,13.0
B/A Size,2600x200
Beta,1.6
Bid,152.23
Bid Size,2600.0
Closing Price,152.67
Day Change $,-2.79
Day Change %,-0.0179
Day High,159.88
Day Low,151.57
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.612
Last (size),60.0
Last (time),4:00p ET 11/28/22
Market Cap,4.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",110.22
Prev Close,155.46
Short Interest,0.10460000000000001
Today's Open,154.45
Volume,452812.0
Volume 10-day Avg,387678.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.20149253731343286
Growth 1yr High Est,0.10389610389610393
Growth 1yr Consensus Est,0.1526943206047684
Growth 2yr Low Est,0.16906925002317608
Growth 2yr High Est,0.17547746371275785
Growth 2yr Consensus Est,0.17227335686796696
Growth 5yr Low Est,0.3131060535830167
Growth 5yr High Est,0.3313284754461225
Growth 5yr Consensus Est,0.3222172645145696
Growth 5yr Actual/Est,0.29779539334333854
Growth 3yr Historic,0.1998155953635406
Price/Earnings (TTM),110.217
Price/Sales (TTM),14.32417
Price/Book (MRQ),
Price/Cash Flow (TTM),88.72018
5yr Low,37.5
5yr High,187.35
5yr Avg Return,0.28975000000000006
EPS Growth 5yr,0.2456225
Revenue Growth 5yr,0.2228243
Dividend Growth 5yr,-0.2654883
Short Int Current Month,3112092.0
Short Int Prev Month,3176979.0
Short Int Pct of Float,0.1045952
Days to Cover,6.12636
Float,29.75634
Shares Outstanding,29.91638
Institutions Holding Shares,387.0
FCF Growth 5yr,0.3018695729640278
"Price/Earnings (TTM, GAAP)",110.22
"PEG Ratio (TTM, GAAP)",5.59
Gross Profit Margin (TTM),0.8120999999999999
Operating Profit Margin (TTM),0.23550000000000001
Net Profit Margin (TTM),0.1301
Annual Dividend Yield,0.0049
Dividend Change %,0.24
"Dividend Growth Rate, 3 Years",0.24670000000000003
EPS Growth (MRQ),0.0028000000000000004
EPS Growth (TTM),0.4385
Revenue Growth (MRQ),0.10619999999999999
Revenue Growth (TTM),0.18600000000000003
Return On Equity (TTM),
Return On Assets (TTM),0.1258
Return On Investment (TTM),0.1532
Revenue Per Employee (TTM),364811.0
Total Debt/Total Capital (MRQ),2.3164
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.24
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
theStreet since,2022-02-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
