,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,46.11,43.4,34.46,30.48,33.13,,,,,
low,25.85,23.62,2.89,14.8,16.64,,,,,
change,-0.3056,0.268,-0.5452,0.30219999999999997,0.4905,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,252.0,177.0,167.0,187.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,592.0,,,,Balance Sheet
Prov. for Doubtful Accts,,,,,,-8.0,,,,Balance Sheet
"Total Receivables, Net",,,,,,584.0,658.0,615.0,612.0,Balance Sheet
Invent. - Finished Goods,,,,,,422.0,492.0,485.0,523.0,Balance Sheet
Invent. - Work In Progress,,,,,,14.0,17.0,21.0,20.0,Balance Sheet
Invent. - Raw Materials,,,,,,187.0,223.0,225.0,148.0,Balance Sheet
LIFO Reserve,,,,,,-79.0,-106.0,-123.0,-121.0,Balance Sheet
Total Inventory,,,,,,543.0,626.0,607.0,571.0,Balance Sheet
Prepaid Expenses,,,,,,78.0,71.0,52.0,70.0,Balance Sheet
Restricted Cash - Current,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,,25.0,34.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,4.0,4.0,29.0,37.0,Balance Sheet
Total Current Assets,,,,,,1461.0,1535.0,1470.0,1477.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,1396.0,1396.0,1393.0,1382.0,Balance Sheet
Accumulated Depreciation,,,,,,-619.0,-634.0,-647.0,-659.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,892.0,875.0,848.0,812.0,Balance Sheet
"Goodwill, Net",,,,,,703.0,705.0,724.0,708.0,Balance Sheet
Intangibles - Gross,,,,,,904.0,904.0,896.0,889.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-502.0,-524.0,-544.0,-563.0,Balance Sheet
Intangibles - Net,,,,,,401.0,379.0,351.0,326.0,Balance Sheet
Other Long Term Assets,,,,,,77.0,77.0,70.0,80.0,Balance Sheet
Total Assets,,,,,,3535.0,3572.0,3463.0,3403.0,Balance Sheet
Accounts Payable,,,,,,474.0,509.0,496.0,499.0,Balance Sheet
Accrued Expenses,,,,,,287.0,280.0,225.0,269.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,27.0,27.0,5.0,5.0,Balance Sheet
Customer Advances,,,,,,15.0,17.0,17.0,14.0,Balance Sheet
Discontinued Operations,,,,,,,,10.0,10.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,15.0,17.0,27.0,23.0,Balance Sheet
Total Current Liabilities,,,,,,802.0,832.0,753.0,797.0,Balance Sheet
Total Long Term Debt,,,,,,698.0,691.0,694.0,644.0,Balance Sheet
Total Debt,,,,,,725.0,718.0,699.0,649.0,Balance Sheet
Deferred Income Tax,,,,,,138.0,129.0,85.0,101.0,Balance Sheet
Minority Interest,,,,,,-16.0,-15.0,-15.0,-16.0,Balance Sheet
"Other Liabilities, Total",,,,,,142.0,142.0,138.0,166.0,Balance Sheet
Total Liabilities,,,,,,1764.0,1779.0,1655.0,1692.0,Balance Sheet
Common Stock,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,,,,2315.0,2319.0,2316.0,2276.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-525.0,-504.0,-503.0,-530.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,-19.0,-21.0,0.0,-47.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
Other Comprehensive Income,,,,,,1.0,0.0,-3.0,13.0,Balance Sheet
"Other Equity, Total",,,,,,-22.0,-24.0,-7.0,-37.0,Balance Sheet
Total Equity,,,,,,1771.0,1792.0,1808.0,1711.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,3535.0,3572.0,3463.0,3403.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,203.0,203.0,203.0,199.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,822.0,866.0,933.0,1022.0,Income Statement
"Cost of Revenue, Total",,,,,,615.0,662.0,716.0,759.0,Income Statement
Selling/Gen/Admin Expense,,,,,,133.0,133.0,135.0,145.0,Income Statement
Labor & Related Expense,,,,,,5.0,5.0,5.0,5.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,138.0,138.0,140.0,150.0,Income Statement
Restructuring Charge,,,,,,3.0,8.0,7.0,70.0,Income Statement
Impair-Assets Held for Use,,,,,,0.0,,,,Income Statement
Unusual Expense (Income),,,,,,3.0,8.0,7.0,70.0,Income Statement
Total Operating Expense,,,,,,756.0,809.0,862.0,979.0,Income Statement
Total Operating Income,,,,,,66.0,57.0,71.0,43.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,-11.0,-11.0,-11.0,-11.0,Income Statement
"Other, Net",,,,,,-5.0,-1.0,-32.0,6.0,Income Statement
Income Before Tax,,,,,,50.0,45.0,27.0,37.0,Income Statement
Income Tax - Total,,,,,,6.0,6.0,-1.0,14.0,Income Statement
Income After Tax,,,,,,44.0,38.0,29.0,23.0,Income Statement
Minority Interest,,,,,,0.0,-1.0,-2.0,0.0,Income Statement
Net Inc Before Extra Items,,,,,,43.0,37.0,27.0,23.0,Income Statement
Total Net Income,,,,,,43.0,37.0,27.0,23.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,43.0,37.0,27.0,23.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,43.0,37.0,27.0,23.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,202.0,203.0,203.0,201.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.21,0.18,0.13,0.11,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.21,0.18,0.13,0.11,Income Statement
Diluted Weighted Average Shares,,,,,,209.0,209.0,209.0,207.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.21,0.18,0.13,0.11,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.21,0.18,0.13,0.11,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.08,0.08,0.08,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,37.0,58.0,60.0,61.0,Income Statement
Total Special Items,,,,,,3.0,8.0,7.0,70.0,Income Statement
Normalzd Income Before Tax,,,,,,53.0,53.0,34.0,107.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,1.0,2.0,27.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,7.0,8.0,1.0,41.0,Income Statement
Normalized Income After Tax,,,,,,47.0,45.0,33.0,66.0,Income Statement
Normalzd Inc Avail to Common,,,,,,46.0,44.0,32.0,66.0,Income Statement
Basic Normalized EPS,,,,,,0.23,0.22,0.16,0.33,Income Statement
Diluted Normalized EPS,,,,,,0.22,0.21,0.15,0.32,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,114240.0,38173.0,67069.0,90294.0,Cash Flow
Depreciation/Depletion,,,,,,237285.0,57699.0,117229.0,177761.0,Cash Flow
Deferred Taxes,,,,,,-20552.0,-7788.0,-34386.0,-37505.0,Cash Flow
Unusual Items,,,,,,-29273.0,-5070.0,16640.0,12087.0,Cash Flow
Other Non-Cash Items,,,,,,32786.0,10156.0,19296.0,40019.0,Cash Flow
Non-Cash Items,,,,,,3513.0,5086.0,35936.0,52106.0,Cash Flow
Accounts Receivable,,,,,,-28736.0,-73262.0,-42456.0,-50075.0,Cash Flow
Inventories,,,,,,-124154.0,-81283.0,-81935.0,-72298.0,Cash Flow
Prepaid Expenses,,,,,,-2342.0,6647.0,16793.0,13737.0,Cash Flow
Other Assets,,,,,,-5151.0,-5265.0,-13949.0,-20947.0,Cash Flow
Accounts Payable,,,,,,171398.0,27184.0,21507.0,38600.0,Cash Flow
Accrued Expenses,,,,,,-19924.0,-9428.0,-58076.0,12266.0,Cash Flow
Changes in Working Capital,,,,,,-6267.0,-136295.0,-154733.0,-64389.0,Cash Flow
Total Cash from Operations,,,,,,328219.0,-43125.0,31115.0,218267.0,Cash Flow
Capital Expenditures,,,,,,-84464.0,-30597.0,-53555.0,-74752.0,Cash Flow
Acquisition of Business,,,,,,-20095.0,-3198.0,-3198.0,-3198.0,Cash Flow
Sale of Business,,,,,,0.0,,,,Cash Flow
Sale of Fixed Assets,,,,,,72022.0,12731.0,14946.0,16424.0,Cash Flow
Purchase of Investments,,,,,,-4874.0,,,0.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,47053.0,9533.0,11748.0,13226.0,Cash Flow
Total Cash from Investing,,,,,,-37411.0,-21064.0,-41807.0,-61526.0,Cash Flow
Financing Cash Flow Items,,,,,,-13495.0,-2639.0,-13755.0,-7489.0,Cash Flow
Total Cash Dividends Paid,,,,,,,,-15465.0,-30480.0,Cash Flow
"Common Stock, Net",,,,,,,,-20016.0,-100090.0,Cash Flow
Options Exercised,,,,,,8819.0,1055.0,3145.0,3709.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,8819.0,1055.0,-16871.0,-96381.0,Cash Flow
Long Term Debt Issued,,,,,,0.0,,844838.0,995038.0,Cash Flow
Long Term Debt Reduction,,,,,,-229671.0,-8214.0,-873110.0,-1075889.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-229671.0,-8214.0,-28272.0,-80851.0,Cash Flow
Total Cash From Financing,,,,,,-234347.0,-9798.0,-74363.0,-215201.0,Cash Flow
Foreign Exchange Effects,,,,,,-2704.0,-582.0,659.0,-5746.0,Cash Flow
Net Change in Cash,,,,,,53757.0,-74569.0,-84396.0,-64206.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,201421.0,255178.0,255178.0,255178.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,255178.0,180609.0,170782.0,190972.0,Cash Flow
"Depreciation, Supplemental",,,,,,237285.0,57699.0,117229.0,177761.0,Cash Flow
Free Cash Flow,,,,,,243755.0,-73722.0,-22440.0,143515.0,
FCF Growth,,,,,,,-1.3024430268097065,-0.6956132497761862,-7.395499108734403,
