,CHX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",48.84,669.05,Valuation,0.07299902847320829
Price/Sales (TTM),1.67,2.16,Valuation,0.773148148148148
Price/Book (MRQ),3.56,3.21,Valuation,1.1090342679127727
"PEG Ratio (TTM, GAAP)",0.92,45.77,Valuation,0.020100502512562814
Gross Profit Margin (TTM),0.2445,0.1895,Profitability,1.2902374670184695
Operating Profit Margin (TTM),0.0649,0.0622,Profitability,1.0434083601286175
Net Profit Margin (TTM),0.0368,0.011899999999999999,Profitability,3.092436974789916
Annual Dividend Yield,0.0098,0.0131,Dividend,0.748091603053435
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),-0.14730000000000001,0.659,Gowth rates,-0.22352048558421853
EPS Growth (TTM),0.6849,-0.1462,Gowth rates,-4.6846785225718195
Revenue Growth (MRQ),0.0954,0.3728,Gowth rates,0.25590128755364805
Revenue Growth (TTM),0.2309,0.2954,Gowth rates,0.7816519972918077
Return On Equity (TTM),0.076,0.0775,Effectiveness,0.9806451612903225
Return On Assets (TTM),0.0388,0.0348,Effectiveness,1.1149425287356323
Return On Investment (TTM),0.049800000000000004,0.1063,Effectiveness,0.4684854186265287
Revenue Per Employee (TTM),520320.0,673709.0,Effectiveness,0.7723215809793249
Total Debt/Total Capital (MRQ),0.2768,0.3983,Financial strength,0.6949535525985439
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002,0.0006,Financial strength,-2.166666666666667
Quick Ratio (MRQ),1.14,1.2,Financial strength,0.95
Interest Coverage (MRQ),9.83,15.83,Financial strength,0.6209728363866077
