,CHX
% Below High,0.0764
% Held by Institutions,1.0464
52-Wk Range,['16.64 - 33.13']
Annual Dividend $,0.3
Annual Dividend %,0.0098
Ask,32.76
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,2.6
Bid,30.6
Bid Size,800.0
Closing Price,30.6
Day Change $,-0.27
Day Change %,-0.0087
Day High,31.12
Day Low,30.57
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",0.63
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.529
Last (size),97.0
Last (time),12:59p ET 11/25/22
Market Cap,6.1B
"P/E Ratio (TTM, GAAP)",48.84
Prev Close,30.87
Short Interest,0.042800000000000005
Today's Open,30.6
Volume,564823.0
Volume 10-day Avg,1536691.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.7613636363636365
Growth 2yr High Est,0.7460317460317463
Growth 2yr Consensus Est,0.7536976911976914
Growth 5yr Low Est,0.7613636363636365
Growth 5yr High Est,0.7460317460317463
Growth 5yr Consensus Est,0.7536976911976914
Growth 5yr Actual/Est,-0.9610645933014353
Growth 3yr Historic,-1.3374534821903243
Price/Earnings (TTM),48.83966
Price/Sales (TTM),1.67491
Price/Book (MRQ),3.56499
Price/Cash Flow (TTM),16.47797
5yr Low,2.89
5yr High,46.11
5yr Avg Return,0.04197999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.3255673
Dividend Growth 5yr,
Short Int Current Month,8459406.0
Short Int Prev Month,9173500.0
Short Int Pct of Float,0.0428385
Days to Cover,3.60177
Float,197.733
Shares Outstanding,199.3598
Institutions Holding Shares,419.0
FCF Growth 5yr,-3.1311851284400984
"Price/Earnings (TTM, GAAP)",48.84
"PEG Ratio (TTM, GAAP)",0.92
Gross Profit Margin (TTM),0.2445
Operating Profit Margin (TTM),0.0649
Net Profit Margin (TTM),0.0368
Annual Dividend Yield,0.0098
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.14730000000000001
EPS Growth (TTM),0.6849
Revenue Growth (MRQ),0.0954
Revenue Growth (TTM),0.2309
Return On Equity (TTM),0.076
Return On Assets (TTM),0.0388
Return On Investment (TTM),0.049800000000000004
Revenue Per Employee (TTM),520320.0
Total Debt/Total Capital (MRQ),0.2768
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),1.14
Interest Coverage (MRQ),9.83
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-02-11 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-06-02 00:00:00
marketEdge opinion since,
