,WST
Price/Earnings (TTM),27.28254
Price/Sales (TTM),5.76816
Price/Book (MRQ),6.78813
Price/Cash Flow (TTM),22.66898
5yr Low,82.74
5yr High,475.35
5yr Avg Return,0.26409999999999995
EPS Growth 5yr,0.35219009999999995
Revenue Growth 5yr,0.1341298
Dividend Growth 5yr,0.0708548
Short Int Current Month,993785.0
Short Int Prev Month,841439.0
Short Int Pct of Float,0.013505
Days to Cover,1.25106
Float,73.57285
Shares Outstanding,74.03299
Institutions Holding Shares,954.0
% Held by Institutions,0.9322079999999999
FCF Growth 5yr,0.36458203749777857
