,WST
% Above Low,0.08720000000000001
% Held by Institutions,0.9322
52-Wk Range,['206.19 - 475.00']
Annual Dividend $,0.76
Annual Dividend %,0.0034000000000000002
Ask,340.73
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,220.05
Bid Size,200.0
Closing Price,224.18
Day Change $,-2.47
Day Change %,-0.0109
Day High,226.28
Day Low,222.12
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",8.31
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.418
Last (size),464.0
Last (time),7:00p ET 11/28/22
Market Cap,16.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.28
Prev Close,226.65
Short Interest,0.013500000000000002
Today's Open,224.86
Volume,555865.0
Volume 10-day Avg,972916.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.037780401416765086
Growth 1yr High Est,-0.03755868544600938
Growth 1yr Consensus Est,-0.03766954343138723
Growth 2yr Low Est,-0.11766320684335191
Growth 2yr High Est,-0.02792568418641922
Growth 2yr Consensus Est,-0.07279444551488556
Growth 5yr Low Est,0.2706642121230102
Growth 5yr High Est,0.31416000124702503
Growth 5yr Consensus Est,0.29241210668501755
Growth 5yr Actual/Est,0.2808760165061314
Growth 3yr Historic,0.31791420271812426
Price/Earnings (TTM),27.28254
Price/Sales (TTM),5.76816
Price/Book (MRQ),6.78813
Price/Cash Flow (TTM),22.66898
5yr Low,82.74
5yr High,475.35
5yr Avg Return,0.26409999999999995
EPS Growth 5yr,0.35219009999999995
Revenue Growth 5yr,0.1341298
Dividend Growth 5yr,0.0708548
Short Int Current Month,993785.0
Short Int Prev Month,841439.0
Short Int Pct of Float,0.013505
Days to Cover,1.25106
Float,73.57285
Shares Outstanding,74.03299
Institutions Holding Shares,954.0
FCF Growth 5yr,0.36458203749777857
"Price/Earnings (TTM, GAAP)",27.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4045
Operating Profit Margin (TTM),0.2531
Net Profit Margin (TTM),0.2119
Annual Dividend Yield,0.0034000000000000002
Dividend Change %,0.061500000000000006
"Dividend Growth Rate, 3 Years",0.0658
EPS Growth (MRQ),-0.34240000000000004
EPS Growth (TTM),0.032100000000000004
Revenue Growth (MRQ),-0.1094
Revenue Growth (TTM),0.085
Return On Equity (TTM),0.2713
Return On Assets (TTM),0.1908
Return On Investment (TTM),0.22640000000000002
Revenue Per Employee (TTM),289021.0
Total Debt/Total Capital (MRQ),0.0781
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),2.89
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-04-02 00:00:00
theStreet since,2011-04-05 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-06-03 00:00:00
marketEdge opinion since,
