,FHB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.07,11.29,Valuation,1.246235606731621
Price/Sales (TTM),4.54,3.28,Valuation,1.3841463414634148
Price/Book (MRQ),1.55,1.42,Valuation,1.091549295774648
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.4239,0.3468,Profitability,1.222318339100346
Net Profit Margin (TTM),0.32380000000000003,0.2848,Profitability,1.1369382022471912
Annual Dividend Yield,0.038900000000000004,0.028999999999999998,Dividend,1.3413793103448277
Dividend Change %,0.0,-0.0087,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.027000000000000003,0.0742,Dividend,0.3638814016172507
EPS Growth (MRQ),0.16469999999999999,-0.048,Gowth rates,-3.4312499999999995
EPS Growth (TTM),-0.0877,-0.10490000000000001,Gowth rates,0.8360343183984746
Revenue Growth (MRQ),0.1779,0.5294,Gowth rates,0.3360408009066868
Revenue Growth (TTM),0.0989,0.22469999999999998,Gowth rates,0.44014241210502897
Return On Equity (TTM),0.099,0.1153,Effectiveness,0.8586296617519514
Return On Assets (TTM),0.0096,0.0101,Effectiveness,0.9504950495049505
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,,0.0009,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
