,FHB
% Below High,0.14279999999999998
% Held by Institutions,0.9845999999999999
52-Wk Range,['21.21 - 31.16']
Annual Dividend $,1.04
Annual Dividend %,0.038900000000000004
Ask,26.71
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,24.32
Bid Size,100.0
Closing Price,26.71
Day Change $,0.15
Day Change %,0.005600000000000001
Day High,26.77
Day Low,26.59
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.9
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.292
Last (size),59.0
Last (time),1:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",14.07
Prev Close,26.56
Short Interest,0.031200000000000002
Today's Open,26.67
Volume,134761.0
Volume 10-day Avg,381736.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-20 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.024390243902438935
Growth 1yr High Est,-0.01904761904761909
Growth 1yr Consensus Est,-0.021718931475029013
Growth 2yr Low Est,0.03280487804878057
Growth 2yr High Est,0.07300046232085061
Growth 2yr Consensus Est,0.05290267018481559
Growth 5yr Low Est,0.0536180328090739
Growth 5yr High Est,0.064573320861422
Growth 5yr Consensus Est,0.059095676835247954
Growth 5yr Actual/Est,0.05224865134136189
Growth 3yr Historic,0.018973390017320096
Price/Earnings (TTM),14.07174
Price/Sales (TTM),4.54232
Price/Book (MRQ),1.54578
Price/Cash Flow (TTM),11.47223
5yr Low,13.56
5yr High,32.36
5yr Avg Return,0.004550000000000001
EPS Growth 5yr,0.044498699999999995
Revenue Growth 5yr,0.011604000000000001
Dividend Growth 5yr,0.390595
Short Int Current Month,3955748.0
Short Int Prev Month,4160389.0
Short Int Pct of Float,0.0311759
Days to Cover,10.05676
Float,126.8846
Shares Outstanding,127.6806
Institutions Holding Shares,325.0
FCF Growth 5yr,0.5473742386683192
"Price/Earnings (TTM, GAAP)",14.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4239
Net Profit Margin (TTM),0.32380000000000003
Annual Dividend Yield,0.038900000000000004
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.027000000000000003
EPS Growth (MRQ),0.16469999999999999
EPS Growth (TTM),-0.0877
Revenue Growth (MRQ),0.1779
Revenue Growth (TTM),0.0989
Return On Equity (TTM),0.099
Return On Assets (TTM),0.0096
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-11 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
