,EPC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.48,62.45,Valuation,0.3599679743795036
Price/Sales (TTM),0.99,4.04,Valuation,0.24504950495049505
Price/Book (MRQ),1.47,11.21,Valuation,0.1311329170383586
"PEG Ratio (TTM, GAAP)",,2.11,Valuation,
Gross Profit Margin (TTM),0.40700000000000003,0.701,Profitability,0.580599144079886
Operating Profit Margin (TTM),0.056600000000000004,0.13949999999999999,Profitability,0.4057347670250897
Net Profit Margin (TTM),0.0454,0.0981,Profitability,0.46279306829765543
Annual Dividend Yield,0.0144,0.0108,Dividend,1.3333333333333333
Dividend Change %,,0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),0.1261,-0.23070000000000002,Gowth rates,-0.5465973125270914
EPS Growth (TTM),-0.12480000000000001,-0.2964,Gowth rates,0.4210526315789474
Revenue Growth (MRQ),-0.1393,-0.0493,Gowth rates,2.825557809330629
Revenue Growth (TTM),0.0404,0.046200000000000005,Gowth rates,0.8744588744588744
Return On Equity (TTM),0.06480000000000001,0.289,Effectiveness,0.22422145328719728
Return On Assets (TTM),0.0267,0.0375,Effectiveness,0.7120000000000001
Return On Investment (TTM),0.0313,0.1008,Effectiveness,0.310515873015873
Revenue Per Employee (TTM),310243.0,706730.0,Effectiveness,0.4389837703224711
Total Debt/Total Capital (MRQ),0.4914,0.49520000000000003,Financial strength,0.9923263327948303
Change in Debt/Total Capital Quarter over Quarter,0.0011,0.0046,Financial strength,0.2391304347826087
Quick Ratio (MRQ),0.9,1.34,Financial strength,0.6716417910447761
Interest Coverage (MRQ),3.86,14.94,Financial strength,0.2583668005354752
