,EPC
% Above Low,0.3009
% Held by Institutions,0.8876999999999999
52-Wk Range,['32.00 - 51.86']
Annual Dividend $,0.6
Annual Dividend %,0.0144
Ask,41.98
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,41.63
Day Change $,0.37
Day Change %,0.009000000000000001
Day High,41.63
Day Low,41.0
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",1.85
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.353
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.48
Prev Close,41.26
Short Interest,0.0582
Today's Open,41.0
Volume,136516.0
Volume 10-day Avg,333799.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.044534412955465674
Growth 1yr High Est,-0.046692607003890885
Growth 1yr Consensus Est,-0.04561350997967828
Growth 2yr Low Est,-0.00955534207095321
Growth 2yr High Est,0.07665369649805454
Growth 2yr Consensus Est,0.03354917721355066
Growth 5yr Low Est,-0.022634813892619454
Growth 5yr High Est,0.022815899343917756
Growth 5yr Consensus Est,9.054272564915089e-05
Growth 5yr Actual/Est,3.807112544612634e-05
Growth 3yr Historic,-0.010694879072362523
Price/Earnings (TTM),22.47695
Price/Sales (TTM),0.98614
Price/Book (MRQ),1.47084
Price/Cash Flow (TTM),11.36122
5yr Low,20.51
5yr High,62.67
5yr Avg Return,-0.02556666666666668
EPS Growth 5yr,0.7934997
Revenue Growth 5yr,-0.0112765
Dividend Growth 5yr,
Short Int Current Month,2829533.0
Short Int Prev Month,3078442.0
Short Int Pct of Float,0.0582081
Days to Cover,6.41689
Float,48.65862
Shares Outstanding,51.44345
Institutions Holding Shares,286.0
FCF Growth 5yr,-0.5007570594908581
"Price/Earnings (TTM, GAAP)",22.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40700000000000003
Operating Profit Margin (TTM),0.056600000000000004
Net Profit Margin (TTM),0.0454
Annual Dividend Yield,0.0144
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1261
EPS Growth (TTM),-0.12480000000000001
Revenue Growth (MRQ),-0.1393
Revenue Growth (TTM),0.0404
Return On Equity (TTM),0.06480000000000001
Return On Assets (TTM),0.0267
Return On Investment (TTM),0.0313
Revenue Per Employee (TTM),310243.0
Total Debt/Total Capital (MRQ),0.4914
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),0.9
Interest Coverage (MRQ),3.86
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-05-11 00:00:00
researchTeam since,2022-08-20 00:00:00
ford since,2022-06-24 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
