,PHM
% Above Low,0.2608
% Held by Institutions,0.9173
52-Wk Range,['35.03 - 58.09']
Annual Dividend $,0.6
Annual Dividend %,0.013500000000000002
Ask,44.18
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,44.16
Bid Size,100.0
Day Change $,-0.35
Day Change %,-0.0079
Day High,44.39
Day Low,43.79
Dividend Pay Date,2022-10-04 00:00:00
"EPS (TTM, GAAP)",9.96
Ex-dividend,2022-09-21 00:00:00
Ex-dividend Date,09/21/22
Historical Volatility,0.445
Last (size),7.0
Last (time),10:47a ET 11/28/22
Market Cap,10.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.47
Prev Close,44.52
Price,44.17
Short Interest,0.0454
Today's Open,44.02
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.4502164502164503
Growth 1yr High Est,0.4212707182320441
Growth 1yr Consensus Est,0.4357435842242472
Growth 2yr Low Est,-0.05598630225495893
Growth 2yr High Est,0.12657316280892783
Growth 2yr Consensus Est,0.03529343027698445
Growth 5yr Low Est,0.17899845881592197
Growth 5yr High Est,0.27138634801950967
Growth 5yr Consensus Est,0.22519240341771582
Growth 5yr Actual/Est,0.2330836558003046
Growth 3yr Historic,0.2075896153765006
Price/Earnings (TTM),4.46831
Price/Sales (TTM),0.65792
Price/Book (MRQ),1.2446
Price/Cash Flow (TTM),4.11084
5yr Low,17.12
5yr High,63.91
5yr Avg Return,0.08240000000000001
EPS Growth 5yr,0.335482
Revenue Growth 5yr,0.1267536
Dividend Growth 5yr,0.0923885
Short Int Current Month,10278695.0
Short Int Prev Month,11682758.0
Short Int Pct of Float,0.045429399999999995
Days to Cover,3.67988
Float,226.2567
Shares Outstanding,227.8197
Institutions Holding Shares,937.0
FCF Growth 5yr,-4.222155313782687
"Price/Earnings (TTM, GAAP)",4.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2939
Operating Profit Margin (TTM),0.2031
Net Profit Margin (TTM),0.15560000000000002
Annual Dividend Yield,0.013500000000000002
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",0.1587
EPS Growth (MRQ),-0.036000000000000004
EPS Growth (TTM),0.5301
Revenue Growth (MRQ),0.0045000000000000005
Revenue Growth (TTM),0.20809999999999998
Return On Equity (TTM),0.31120000000000003
Return On Assets (TTM),0.1791
Return On Investment (TTM),0.2395
Revenue Per Employee (TTM),2493720.0
Total Debt/Total Capital (MRQ),0.2487
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-06-21 00:00:00
theStreet since,2020-06-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-22 00:00:00
ford since,2022-09-02 00:00:00
marketEdge opinion since,
