,PRK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.88,11.43,Valuation,1.389326334208224
Price/Sales (TTM),5.02,3.3,Valuation,1.5212121212121212
Price/Book (MRQ),2.31,1.46,Valuation,1.582191780821918
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3876,0.34240000000000004,Profitability,1.1320093457943925
Net Profit Margin (TTM),0.3177,0.2812,Profitability,1.1298008534850639
Annual Dividend Yield,0.0282,0.028700000000000003,Dividend,0.9825783972125435
Dividend Change %,0.0098,-0.0086,Dividend,-1.1395348837209303
"Dividend Growth Rate, 3 Years",0.0255,0.0734,Dividend,0.34741144414168934
EPS Growth (MRQ),0.22460000000000002,-0.0335,Gowth rates,-6.704477611940299
EPS Growth (TTM),-0.061500000000000006,-0.09960000000000001,Gowth rates,0.6174698795180723
Revenue Growth (MRQ),0.1313,0.5429,Gowth rates,0.24184932768465645
Revenue Growth (TTM),0.018000000000000002,0.2466,Gowth rates,0.07299270072992702
Return On Equity (TTM),0.1443,0.1135,Effectiveness,1.27136563876652
Return On Assets (TTM),0.015300000000000001,0.0099,Effectiveness,1.5454545454545454
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0009,Financial strength,-1.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
