,PRK
% Below High,0.0239
% Held by Institutions,0.5186999999999999
52-Wk Range,['112.78 - 149.53']
Annual Dividend $,4.16
Annual Dividend %,0.0282
Ask,147.33
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,145.99
Bid Size,200.0
Day Change $,-1.42
Day Change %,-0.0096
Day High,147.04
Day Low,145.95
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",9.28
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.253
Last (size),1.0
Last (time),11:15a ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.88
Prev Close,147.37
Price,145.95
Short Interest,0.0538
Today's Open,146.91
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.00328947368421062
Growth 1yr High Est,0.029063509149623412
Growth 1yr Consensus Est,0.016176491416917016
Growth 2yr Low Est,-0.009284224906528638
Growth 2yr High Est,0.000933428214979104
Growth 2yr Consensus Est,-0.004175398345774767
Growth 5yr Low Est,0.0923898510170553
Growth 5yr High Est,0.10076837323267807
Growth 5yr Consensus Est,0.09657911212486668
Growth 5yr Actual/Est,0.10392643971376159
Growth 3yr Historic,0.11033641107170516
Price/Earnings (TTM),15.87905
Price/Sales (TTM),5.01512
Price/Book (MRQ),2.3117
Price/Cash Flow (TTM),14.34862
5yr Low,64.53
5yr High,149.53
5yr Avg Return,0.05511666666666667
EPS Growth 5yr,0.1088385
Revenue Growth 5yr,0.0459606
Dividend Growth 5yr,0.0184551
Short Int Current Month,853518.0
Short Int Prev Month,893724.0
Short Int Pct of Float,0.053842
Days to Cover,27.39146
Float,15.85342
Shares Outstanding,16.26358
Institutions Holding Shares,233.0
FCF Growth 5yr,0.256466766232535
"Price/Earnings (TTM, GAAP)",15.88
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3876
Net Profit Margin (TTM),0.3177
Annual Dividend Yield,0.0282
Dividend Change %,0.0098
"Dividend Growth Rate, 3 Years",0.0255
EPS Growth (MRQ),0.22460000000000002
EPS Growth (TTM),-0.061500000000000006
Revenue Growth (MRQ),0.1313
Revenue Growth (TTM),0.018000000000000002
Return On Equity (TTM),0.1443
Return On Assets (TTM),0.015300000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2020-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
