,MTLS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",76.11,54.08,Valuation,1.4073594674556213
Price/Sales (TTM),2.42,9.39,Valuation,0.2577209797657082
Price/Book (MRQ),2.31,12.63,Valuation,0.1828978622327791
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5614,0.7206,Profitability,0.7790729947266167
Operating Profit Margin (TTM),0.016200000000000003,0.2172,Profitability,0.07458563535911603
Net Profit Margin (TTM),0.0316,0.1553,Profitability,0.20347714101738573
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.574,-0.0752,Gowth rates,-7.632978723404254
EPS Growth (TTM),0.096,-0.2824,Gowth rates,-0.33994334277620397
Revenue Growth (MRQ),0.0038,0.15560000000000002,Gowth rates,0.02442159383033419
Revenue Growth (TTM),0.168,0.1906,Gowth rates,0.8814270724029382
Return On Equity (TTM),0.0309,0.2189,Effectiveness,0.14116034719049794
Return On Assets (TTM),0.0172,0.10740000000000001,Effectiveness,0.1601489757914339
Return On Investment (TTM),0.0225,0.1387,Effectiveness,0.16222062004325885
Revenue Per Employee (TTM),100878.0,667721.0,Effectiveness,0.151078070032244
Total Debt/Total Capital (MRQ),0.2619,0.39659999999999995,Financial strength,0.6603630862329805
Change in Debt/Total Capital Quarter over Quarter,-0.0018,0.0004,Financial strength,-4.5
Quick Ratio (MRQ),1.94,1.0,Financial strength,1.94
Interest Coverage (MRQ),,0.28,Financial strength,
