,MTLS
% Above Low,0.041100000000000005
% Held by Institutions,0.2857
52-Wk Range,['9.25 - 26.00']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.7
Bid,7.53
Bid Size,100.0
Closing Price,9.63
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.13
Ex-dividend Date,No dividend
Historical Volatility,0.613
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,568.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",76.11
Prev Close,9.63
Short Interest,0.0073
Today's Open,
Volume,60376.0
Volume 10-day Avg,278982.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.4
Growth 2yr High Est,0.3043478260869563
Growth 2yr Consensus Est,-0.5478260869565218
Growth 5yr Low Est,-1.4
Growth 5yr High Est,0.3043478260869563
Growth 5yr Consensus Est,-0.5478260869565218
Growth 5yr Actual/Est,-1.9747474747474745
Growth 3yr Historic,-2.0303030303030303
Price/Earnings (TTM),76.1096
Price/Sales (TTM),2.4178
Price/Book (MRQ),2.31303
Price/Cash Flow (TTM),19.09436
5yr Low,9.25
5yr High,87.4
5yr Avg Return,0.1904
EPS Growth 5yr,
Revenue Growth 5yr,0.1240809
Dividend Growth 5yr,
Short Int Current Month,418812.0
Short Int Prev Month,599940.0
Short Int Pct of Float,0.0072631
Days to Cover,1.17116
Float,8.0
Shares Outstanding,59.06352
Institutions Holding Shares,72.0
FCF Growth 5yr,-0.25471332632918203
"Price/Earnings (TTM, GAAP)",76.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5614
Operating Profit Margin (TTM),0.016200000000000003
Net Profit Margin (TTM),0.0316
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.574
EPS Growth (TTM),0.096
Revenue Growth (MRQ),0.0038
Revenue Growth (TTM),0.168
Return On Equity (TTM),0.0309
Return On Assets (TTM),0.0172
Return On Investment (TTM),0.0225
Revenue Per Employee (TTM),100878.0
Total Debt/Total Capital (MRQ),0.2619
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),1.94
Interest Coverage (MRQ),
theStreet,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam,rating-box
newConstructs,
cfra,rating-box
theStreet since,2021-11-03 00:00:00
marketEdge opinion since,
marketEdge since,
researchTeam since,
newConstructs since,
cfra since,
