,BHE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.01,21.62,Valuation,0.7867715078630898
Price/Sales (TTM),0.36,5.43,Valuation,0.06629834254143646
Price/Book (MRQ),1.0,5.49,Valuation,0.18214936247723132
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.0885,0.33659999999999995,Profitability,0.2629233511586453
Operating Profit Margin (TTM),0.029500000000000002,-0.0824,Profitability,-0.3580097087378641
Net Profit Margin (TTM),0.0215,-0.1173,Profitability,-0.18329070758738275
Annual Dividend Yield,0.023100000000000002,0.0088,Dividend,2.625
Dividend Change %,0.0234,0.0488,Dividend,0.47950819672131145
"Dividend Growth Rate, 3 Years",0.029700000000000004,0.046,Dividend,0.6456521739130435
EPS Growth (MRQ),0.09300000000000001,0.1058,Gowth rates,0.8790170132325142
EPS Growth (TTM),0.9626000000000001,-0.0147,Gowth rates,-65.48299319727892
Revenue Growth (MRQ),0.059800000000000006,0.1655,Gowth rates,0.3613293051359517
Revenue Growth (TTM),0.2917,0.1855,Gowth rates,1.5725067385444744
Return On Equity (TTM),0.060599999999999994,0.23850000000000002,Effectiveness,0.25408805031446535
Return On Assets (TTM),0.028900000000000002,0.0752,Effectiveness,0.3843085106382979
Return On Investment (TTM),0.0446,0.1041,Effectiveness,0.4284341978866475
Revenue Per Employee (TTM),254013.0,449465.0,Effectiveness,0.5651452282157676
Total Debt/Total Capital (MRQ),0.2306,0.3575,Financial strength,0.645034965034965
Change in Debt/Total Capital Quarter over Quarter,0.0085,0.0362,Financial strength,0.23480662983425415
Quick Ratio (MRQ),1.13,1.53,Financial strength,0.7385620915032679
Interest Coverage (MRQ),8.75,15.46,Financial strength,0.5659767141009056
