,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.41,15.88,,,,,
low,14.87,5.93,,,,,
change,-0.2125,-0.5629,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,94.0,101.0,105.0,91.0,Balance Sheet
"Trade Accts Recvble, Gross",,,42.0,44.0,51.0,53.0,Balance Sheet
Prov. for Doubtful Accts,,,-2.0,-2.0,-2.0,-3.0,Balance Sheet
"Total Receivables, Net",,,52.0,55.0,64.0,64.0,Balance Sheet
Prepaid Expenses,,,23.0,26.0,26.0,26.0,Balance Sheet
"Other Curr. Assets, Total",,,4.0,4.0,4.0,4.0,Balance Sheet
Total Current Assets,,,172.0,186.0,200.0,185.0,Balance Sheet
Buildings,,,12.0,12.0,12.0,12.0,Balance Sheet
Machinery/Equipment,,,8.0,9.0,10.0,10.0,Balance Sheet
Other Prop./Plant/Equip.,,,4.0,4.0,4.0,4.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,24.0,25.0,25.0,25.0,Balance Sheet
Accumulated Depreciation,,,-10.0,-11.0,-12.0,-13.0,Balance Sheet
Prop./Plant/Equip. - Net,,,14.0,13.0,13.0,13.0,Balance Sheet
"Goodwill, Net",,,921.0,922.0,914.0,907.0,Balance Sheet
Intangibles - Gross,,,786.0,789.0,791.0,794.0,Balance Sheet
Accum. Intangible Amort.,,,-254.0,-280.0,-306.0,-332.0,Balance Sheet
Intangibles - Net,,,533.0,509.0,485.0,461.0,Balance Sheet
Other Long Term Assets,,,24.0,21.0,22.0,22.0,Balance Sheet
Total Assets,,,1663.0,1651.0,1633.0,1588.0,Balance Sheet
Accounts Payable,,,10.0,8.0,8.0,9.0,Balance Sheet
Accrued Expenses,,,49.0,54.0,55.0,47.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,11.0,11.0,11.0,8.0,Balance Sheet
"Other Curr. Lblts, Total",,,33.0,36.0,35.0,35.0,Balance Sheet
Total Current Liabilities,,,103.0,109.0,108.0,100.0,Balance Sheet
Total Long Term Debt,,,535.0,534.0,533.0,532.0,Balance Sheet
Total Debt,,,546.0,545.0,544.0,540.0,Balance Sheet
Deferred Income Tax,,,18.0,8.0,7.0,7.0,Balance Sheet
"Other Liabilities, Total",,,21.0,22.0,21.0,20.0,Balance Sheet
Total Liabilities,,,678.0,673.0,670.0,659.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1501.0,1508.0,1514.0,1502.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-513.0,-527.0,-539.0,-555.0,Balance Sheet
"Other Equity, Total",,,-2.0,-2.0,-11.0,-18.0,Balance Sheet
Total Equity,,,986.0,979.0,964.0,929.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1663.0,1651.0,1633.0,1588.0,Balance Sheet
Ttl Comm. Shares Outs.,,,195.0,196.0,196.0,194.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,135649.0,143576.0,157246.0,158126.0,Income Statement
"Cost of Revenue, Total",,,42742.0,50745.0,55103.0,57655.0,Income Statement
