,EVCM
% Above Low,0.1653
% Held by Institutions,0.8875
52-Wk Range,['5.93 - 17.72']
Annual Dividend $,
Annual Dividend %,
Ask,6.95
Ask Size,400.0
B/A Ratio,4.0
B/A Size,1600x400
Beta,
Bid,6.91
Bid Size,1600.0
Closing Price,6.91
Day Change $,0.29
Day Change %,0.0438
Day High,7.05
Day Low,6.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.24
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),118.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,6.62
Short Interest,0.0086
Today's Open,6.49
Volume,96142.0
Volume 10-day Avg,376896.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-13 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.375
Growth 2yr High Est,0.25
Growth 2yr Consensus Est,-0.5625
Growth 5yr Low Est,-1.375
Growth 5yr High Est,0.25
Growth 5yr Consensus Est,-0.5625
Growth 5yr Actual/Est,-1.0325892857142858
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.24525
Price/Book (MRQ),1.44232
Price/Cash Flow (TTM),20.58342
5yr Low,5.93
5yr High,23.41
5yr Avg Return,-0.38769999999999993
Short Int Current Month,969604.0
Short Int Prev Month,1024282.0
Short Int Pct of Float,0.0086304
Days to Cover,3.16269
Float,179.4318
Shares Outstanding,193.2012
Institutions Holding Shares,110.0
FCF Growth 5yr,0.2487152119439567
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6531
Operating Profit Margin (TTM),-0.055
Net Profit Margin (TTM),-0.0787
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2377
EPS Growth (TTM),0.6746
Revenue Growth (MRQ),0.005600000000000001
Revenue Growth (TTM),0.33170000000000005
Return On Equity (TTM),-0.0489
Return On Assets (TTM),-0.0304
Return On Investment (TTM),-0.032400000000000005
Revenue Per Employee (TTM),270271.0
Total Debt/Total Capital (MRQ),0.3677
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.64
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-10 00:00:00
researchTeam since,2022-08-10 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
