,RRR
% Below High,0.1913
% Held by Institutions,0.9693999999999999
52-Wk Range,['30.98 - 55.84']
Annual Dividend $,1.0
Annual Dividend %,0.0225
Ask,45.18
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.2
Bid,45.14
Bid Size,100.0
Day Change $,0.68
Day Change %,0.015300000000000001
Day High,45.16
Day Low,43.77
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",3.17
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.48200000000000004
Last (size),192.0
Last (time),1:17p ET 11/28/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",14.05
Prev Close,44.48
Price,45.16
Short Interest,0.0385
Today's Open,44.3
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.16666666666666674
Growth 2yr High Est,1.1647058823529415
Growth 2yr Consensus Est,0.6656862745098041
Growth 5yr Low Est,0.16666666666666674
Growth 5yr High Est,1.1647058823529415
Growth 5yr Consensus Est,0.6656862745098041
Growth 5yr Actual/Est,9.798778473308987
Growth 3yr Historic,9.816666666666665
Price/Earnings (TTM),14.04515
Price/Sales (TTM),2.78521
Price/Book (MRQ),142.6173
Price/Cash Flow (TTM),8.39585
5yr Low,2.76
5yr High,58.74
5yr Avg Return,0.1561
EPS Growth 5yr,-0.0498896
Revenue Growth 5yr,0.021813
Dividend Growth 5yr,
Short Int Current Month,2046012.0
Short Int Prev Month,2270730.0
Short Int Pct of Float,0.0384993
Days to Cover,5.54554
Float,53.14408
Shares Outstanding,103.9862
Institutions Holding Shares,234.0
FCF Growth 5yr,-0.3448335548908829
"Price/Earnings (TTM, GAAP)",14.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6482
Operating Profit Margin (TTM),0.29850000000000004
Net Profit Margin (TTM),0.2531
Annual Dividend Yield,0.0225
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.2036000000000002
EPS Growth (TTM),2.7192000000000003
Revenue Growth (MRQ),-0.018500000000000003
Revenue Growth (TTM),0.0791
Return On Equity (TTM),1.3844
Return On Assets (TTM),0.1253
Return On Investment (TTM),0.1408
Revenue Per Employee (TTM),212906.0
Total Debt/Total Capital (MRQ),0.9972
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),4.35
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-08-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
