,FN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.91,21.62,Valuation,1.013413506012951
Price/Sales (TTM),2.0,5.43,Valuation,0.3683241252302026
Price/Book (MRQ),3.64,5.49,Valuation,0.663023679417122
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.12539999999999998,0.33659999999999995,Profitability,0.37254901960784315
Operating Profit Margin (TTM),0.0942,-0.0824,Profitability,-1.1432038834951457
Net Profit Margin (TTM),0.0928,-0.1173,Profitability,-0.7911338448422847
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.1645,0.1058,Gowth rates,1.554820415879017
EPS Growth (TTM),0.3895,-0.0147,Gowth rates,-26.496598639455783
Revenue Growth (MRQ),0.1149,0.1655,Gowth rates,0.6942598187311178
Revenue Growth (TTM),0.1955,0.1855,Gowth rates,1.0539083557951483
Return On Equity (TTM),0.18,0.23850000000000002,Effectiveness,0.7547169811320754
Return On Assets (TTM),0.1243,0.0752,Effectiveness,1.6529255319148934
Return On Investment (TTM),0.17350000000000002,0.1041,Effectiveness,1.6666666666666667
Revenue Per Employee (TTM),166795.0,449465.0,Effectiveness,0.37109674835637924
Total Debt/Total Capital (MRQ),0.0161,0.3575,Financial strength,0.045034965034965034
Change in Debt/Total Capital Quarter over Quarter,-0.0047,0.0362,Financial strength,-0.1298342541436464
Quick Ratio (MRQ),1.95,1.53,Financial strength,1.2745098039215685
Interest Coverage (MRQ),,15.46,Financial strength,
