,FN
% Below High,0.013300000000000001
% Held by Institutions,0.9959
52-Wk Range,['74.57 - 131.49']
Annual Dividend $,
Annual Dividend %,
Ask,154.82
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,51.92
Bid Size,200.0
Closing Price,129.74
Day Change $,0.23
Day Change %,0.0018
Day High,130.42
Day Low,129.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.92
Ex-dividend Date,No dividend
Historical Volatility,0.408
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.91
Prev Close,129.51
Short Interest,0.0231
Today's Open,129.5
Volume,66641.0
Volume 10-day Avg,174581.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.21943048576214408
Growth 1yr High Est,0.27500000000000013
Growth 1yr Consensus Est,0.2472152428810721
Growth 2yr Low Est,0.13718777035359953
Growth 2yr High Est,0.1878267973856209
Growth 2yr Consensus Est,0.16250728386961022
Growth 5yr Low Est,0.21084238253579435
Growth 5yr High Est,0.23332570578496292
Growth 5yr Consensus Est,0.22208404416037864
Growth 5yr Actual/Est,0.21608353740372704
Growth 3yr Historic,0.14116113920925877
Price/Earnings (TTM),21.91206
Price/Sales (TTM),1.99924
Price/Book (MRQ),3.6447
Price/Cash Flow (TTM),18.21497
5yr Low,24.02
5yr High,131.49
5yr Avg Return,0.28683333333333333
EPS Growth 5yr,0.1586998
Revenue Growth 5yr,0.09753780000000001
Dividend Growth 5yr,
Short Int Current Month,837473.0
Short Int Prev Month,892637.0
Short Int Pct of Float,0.0231296
Days to Cover,3.11958
Float,36.40552
Shares Outstanding,36.58747
Institutions Holding Shares,353.0
FCF Growth 5yr,1.8975178318504922
"Price/Earnings (TTM, GAAP)",21.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.12539999999999998
Operating Profit Margin (TTM),0.0942
Net Profit Margin (TTM),0.0928
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1645
EPS Growth (TTM),0.3895
Revenue Growth (MRQ),0.1149
Revenue Growth (TTM),0.1955
Return On Equity (TTM),0.18
Return On Assets (TTM),0.1243
Return On Investment (TTM),0.17350000000000002
Revenue Per Employee (TTM),166795.0
Total Debt/Total Capital (MRQ),0.0161
Change in Debt/Total Capital Quarter over Quarter,-0.0047
Quick Ratio (MRQ),1.95
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2013-06-25 00:00:00
researchTeam since,2022-08-26 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
