,SSD
% Above Low,0.2133
% Held by Institutions,0.887
52-Wk Range,['75.25 - 141.26']
Annual Dividend $,1.04
Annual Dividend %,0.011200000000000002
Ask,91.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,91.18
Bid Size,100.0
Day Change $,-1.74
Day Change %,-0.0187
Day High,92.49
Day Low,91.22
Dividend Pay Date,2023-01-26 00:00:00
"EPS (TTM, GAAP)",8.0
Ex-dividend,2023-01-04 00:00:00
Ex-dividend Date,01/04/23
Historical Volatility,0.35600000000000004
Last (size),1900.0
Last (time),3:16p ET 11/28/22
Market Cap,3.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.63
Prev Close,93.04
Price,91.3
Short Interest,0.0182
Today's Open,91.78
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.7499999999999998
Growth 1yr High Est,0.7611241217798597
Growth 1yr Consensus Est,0.7555620608899297
Growth 2yr Low Est,0.21513605442176859
Growth 2yr High Est,0.31274291195375964
Growth 2yr Consensus Est,0.2639394831877641
Growth 5yr Low Est,0.22598907984246322
Growth 5yr High Est,0.2598482771689328
Growth 5yr Consensus Est,0.24291867850569798
Growth 5yr Actual/Est,0.2111654586024591
Growth 3yr Historic,0.21653529384027792
Price/Earnings (TTM),11.62949
Price/Sales (TTM),1.92485
Price/Book (MRQ),2.96311
Price/Cash Flow (TTM),9.90847
5yr Low,47.02
5yr High,141.26
5yr Avg Return,0.11651666666666666
EPS Growth 5yr,0.2692568
Revenue Growth 5yr,0.1282135
Dividend Growth 5yr,0.13045579999999998
Short Int Current Month,771615.0
Short Int Prev Month,898594.0
Short Int Pct of Float,0.0182355
Days to Cover,3.49702
Float,42.31389
Shares Outstanding,42.59788
Institutions Holding Shares,377.0
FCF Growth 5yr,1.0927194396588507
"Price/Earnings (TTM, GAAP)",11.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.456
Operating Profit Margin (TTM),0.23190000000000002
Net Profit Margin (TTM),0.1681
Annual Dividend Yield,0.011200000000000002
Dividend Change %,0.0435
"Dividend Growth Rate, 3 Years",0.0373
EPS Growth (MRQ),-0.049800000000000004
EPS Growth (TTM),0.5416
Revenue Growth (MRQ),-0.0667
Revenue Growth (TTM),0.4214
Return On Equity (TTM),0.28140000000000004
Return On Assets (TTM),0.17629999999999998
Return On Investment (TTM),0.2076
Revenue Per Employee (TTM),518514.0
Total Debt/Total Capital (MRQ),0.3379
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.0
Interest Coverage (MRQ),26.56
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-01 00:00:00
theStreet since,2022-11-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
