,SSD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.63,13.91,Valuation,0.8360891445003595
Price/Sales (TTM),1.92,1.88,Valuation,1.0212765957446808
Price/Book (MRQ),2.96,3.87,Valuation,0.7648578811369509
"PEG Ratio (TTM, GAAP)",,0.02,Valuation,
Gross Profit Margin (TTM),0.456,0.31260000000000004,Profitability,1.45873320537428
Operating Profit Margin (TTM),0.23190000000000002,0.1429,Profitability,1.6228131560531842
Net Profit Margin (TTM),0.1681,0.1072,Profitability,1.568097014925373
Annual Dividend Yield,0.011200000000000002,0.0134,Dividend,0.8358208955223881
Dividend Change %,0.0435,0.2683,Dividend,0.1621319418561312
"Dividend Growth Rate, 3 Years",0.0373,0.0895,Dividend,0.41675977653631285
EPS Growth (MRQ),-0.049800000000000004,0.5653,Gowth rates,-0.0880948169113745
EPS Growth (TTM),0.5416,7.5147,Gowth rates,0.07207207207207206
Revenue Growth (MRQ),-0.0667,0.1259,Gowth rates,-0.5297855440826051
Revenue Growth (TTM),0.4214,0.20510000000000003,Gowth rates,2.0546075085324227
Return On Equity (TTM),0.28140000000000004,0.254,Effectiveness,1.1078740157480316
Return On Assets (TTM),0.17629999999999998,0.0326,Effectiveness,5.4079754601226995
Return On Investment (TTM),0.2076,0.1543,Effectiveness,1.3454309786130916
Revenue Per Employee (TTM),518514.0,403228.0,Effectiveness,1.285907724661978
Total Debt/Total Capital (MRQ),0.3379,0.4794,Financial strength,0.7048393825615352
Change in Debt/Total Capital Quarter over Quarter,,0.0029,Financial strength,
Quick Ratio (MRQ),2.0,1.11,Financial strength,1.8018018018018016
Interest Coverage (MRQ),26.56,10.87,Financial strength,2.4434222631094755
