,FWONK
% Above Low,0.1968
% Held by Institutions,
52-Wk Range,['50.00 - 71.17']
Annual Dividend $,
Annual Dividend %,
Ask,60.22
Ask Size,1700.0
B/A Ratio,3.0588235294117645
B/A Size,5200x1700
Beta,
Bid,59.46
Bid Size,5200.0
Closing Price,59.84
Day Change $,0.05
Day Change %,0.0008
Day High,61.24
Day Low,59.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.321
Last (size),1400.0
Last (time),1:00p ET 11/25/22
Market Cap,14.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,59.79
Short Interest,
Today's Open,59.86
Volume,446118.0
Volume 10-day Avg,1045917.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.8269230769230769
Growth 2yr High Est,0.1200000000000001
Growth 2yr Consensus Est,-0.8534615384615384
Growth 5yr Low Est,-1.8269230769230769
Growth 5yr High Est,0.1200000000000001
Growth 5yr Consensus Est,-0.8534615384615384
Growth 5yr Actual/Est,-0.16261440041028474
Growth 3yr Historic,0.0556924628909064
5yr Low,18.31
5yr High,71.17
5yr Avg Return,0.11313333333333332
FCF Growth 5yr,-3.9555344827586207
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
theStreet,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs,
cfra,rating-box
ford,rating-box
theStreet since,2022-09-27 00:00:00
marketEdge opinion since,
marketEdge since,
newConstructs since,
cfra since,
ford since,
