,AIT
Price/Earnings (TTM),18.33861
Price/Sales (TTM),1.27795
Price/Book (MRQ),4.16549
Price/Cash Flow (TTM),15.21003
5yr Low,30.66
5yr High,132.43
5yr Avg Return,0.15398333333333333
EPS Growth 5yr,0.1413672
Revenue Growth 5yr,0.079978
Dividend Growth 5yr,0.0328565
Short Int Current Month,498913.0
Short Int Prev Month,628169.0
Short Int Pct of Float,0.01313
Days to Cover,2.96267
Float,38.00991
Shares Outstanding,38.57196
Institutions Holding Shares,387.0
% Held by Institutions,0.936566
FCF Growth 5yr,0.054567549336104526
