,AIT
% Below High,0.0060999999999999995
% Held by Institutions,0.9366
52-Wk Range,['88.09 - 132.72']
Annual Dividend $,1.36
Annual Dividend %,0.0103
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,36.91
Bid Size,
Closing Price,131.91
Day Change $,1.21
Day Change %,0.009300000000000001
Day High,132.72
Day Low,130.74
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",7.19
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.344
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.34
Prev Close,130.7
Short Interest,0.0131
Today's Open,131.32
Volume,50741.0
Volume 10-day Avg,150919.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.8410958904109589
Growth 1yr High Est,1.0160857908847185
Growth 1yr Consensus Est,0.9285908406478387
Growth 2yr Low Est,0.4413812785388128
Growth 2yr High Est,0.5446120443785295
Growth 2yr Consensus Est,0.49299666145867116
Growth 5yr Low Est,0.2206906392694064
Growth 5yr High Est,0.27230602218926475
Growth 5yr Consensus Est,0.24649833072933558
Growth 5yr Actual/Est,0.19858927333971754
Growth 3yr Historic,0.15867884019850836
Price/Earnings (TTM),18.33861
Price/Sales (TTM),1.27795
Price/Book (MRQ),4.16549
Price/Cash Flow (TTM),15.21003
5yr Low,30.66
5yr High,132.43
5yr Avg Return,0.15398333333333333
EPS Growth 5yr,0.1413672
Revenue Growth 5yr,0.079978
Dividend Growth 5yr,0.0328565
Short Int Current Month,498913.0
Short Int Prev Month,628169.0
Short Int Pct of Float,0.01313
Days to Cover,2.96267
Float,38.00991
Shares Outstanding,38.57196
Institutions Holding Shares,387.0
FCF Growth 5yr,0.054567549336104526
"Price/Earnings (TTM, GAAP)",18.34
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2909
Operating Profit Margin (TTM),0.09789999999999999
Net Profit Margin (TTM),0.0707
Annual Dividend Yield,0.0103
Dividend Change %,0.0308
"Dividend Growth Rate, 3 Years",0.0318
EPS Growth (MRQ),-0.0282
EPS Growth (TTM),0.7358
Revenue Growth (MRQ),0.0009
Revenue Growth (TTM),0.17800000000000002
Return On Equity (TTM),0.256
Return On Assets (TTM),0.1178
Return On Investment (TTM),0.1458
Revenue Per Employee (TTM),652689.0
Total Debt/Total Capital (MRQ),0.3471
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),2.0
Interest Coverage (MRQ),14.14
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-04-30 00:00:00
