,TAP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.44,30.98,Valuation,0.788896061975468
Price/Sales (TTM),1.13,5.41,Valuation,0.20887245841035118
Price/Book (MRQ),0.91,12.08,Valuation,0.07533112582781457
"PEG Ratio (TTM, GAAP)",15.95,1.83,Valuation,8.715846994535518
Gross Profit Margin (TTM),0.3357,0.5436,Profitability,0.6175496688741722
Operating Profit Margin (TTM),0.078,0.2061,Profitability,0.3784570596797671
Net Profit Margin (TTM),0.0454,0.1504,Profitability,0.30186170212765956
Annual Dividend Yield,0.0273,0.0217,Dividend,1.2580645161290323
Dividend Change %,,0.0435,Dividend,
"Dividend Growth Rate, 3 Years",-0.2543,0.0233,Dividend,-10.914163090128756
EPS Growth (MRQ),3.5793,-56.8582,Gowth rates,-0.06295134211072458
EPS Growth (TTM),2.1021,-0.16890000000000002,Gowth rates,-12.44582593250444
Revenue Growth (MRQ),0.0046,0.11,Gowth rates,0.04181818181818182
Revenue Growth (TTM),0.0739,0.1207,Gowth rates,0.612261806130903
Return On Equity (TTM),0.0375,0.37020000000000003,Effectiveness,0.10129659643435979
Return On Assets (TTM),0.0179,0.0808,Effectiveness,0.22153465346534654
Return On Investment (TTM),0.0209,0.1226,Effectiveness,0.17047308319738988
Revenue Per Employee (TTM),655871.0,576805.0,Effectiveness,1.1370757881779805
Total Debt/Total Capital (MRQ),0.3297,0.5343,Financial strength,0.6170690623245367
Change in Debt/Total Capital Quarter over Quarter,-0.0006,-0.0009,Financial strength,0.6666666666666666
Quick Ratio (MRQ),0.52,1.07,Financial strength,0.48598130841121495
Interest Coverage (MRQ),5.62,9.45,Financial strength,0.5947089947089947
