,TAP
% Below High,0.086
% Held by Institutions,0.8534
52-Wk Range,['42.60 - 60.12']
Annual Dividend $,1.52
Annual Dividend %,0.0273
Ask,54.96
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,0.9
Bid,54.95
Bid Size,1000.0
Day Change $,-0.63
Day Change %,-0.0113
Day High,55.7
Day Low,54.94
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.27
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.294
Last (size),100.0
Last (time),3:58p ET 11/28/22
Market Cap,11.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.44
Prev Close,55.58
Price,54.95
Short Interest,0.047
Today's Open,55.17
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.03307888040712481
Growth 1yr High Est,-0.1544885177453028
Growth 1yr Consensus Est,-0.09378369907621381
Growth 2yr Low Est,0.0031974019017007582
Growth 2yr High Est,-0.020454135415861274
Growth 2yr Consensus Est,-0.008628366757080258
Growth 5yr Low Est,0.0031974019017007582
Growth 5yr High Est,-0.020454135415861274
Growth 5yr Consensus Est,-0.008628366757080258
Growth 5yr Actual/Est,-0.020353761415895733
Growth 3yr Historic,-0.019472601816056784
Price/Earnings (TTM),24.43732
Price/Sales (TTM),1.12843
Price/Book (MRQ),0.91365
Price/Cash Flow (TTM),10.19582
5yr Low,32.11
5yr High,85.86
5yr Avg Return,-0.04839999999999999
EPS Growth 5yr,-0.0915343
Revenue Growth 5yr,0.16044129999999998
Dividend Growth 5yr,-0.1614422
Short Int Current Month,8331838.0
Short Int Prev Month,8200469.0
Short Int Pct of Float,0.046965700000000006
Days to Cover,5.46254
Float,180.067
Shares Outstanding,216.5462
Institutions Holding Shares,825.0
FCF Growth 5yr,-0.6665715921023551
"Price/Earnings (TTM, GAAP)",24.44
"PEG Ratio (TTM, GAAP)",15.95
Gross Profit Margin (TTM),0.3357
Operating Profit Margin (TTM),0.078
Net Profit Margin (TTM),0.0454
Annual Dividend Yield,0.0273
Dividend Change %,
"Dividend Growth Rate, 3 Years",-0.2543
EPS Growth (MRQ),3.5793
EPS Growth (TTM),2.1021
Revenue Growth (MRQ),0.0046
Revenue Growth (TTM),0.0739
Return On Equity (TTM),0.0375
Return On Assets (TTM),0.0179
Return On Investment (TTM),0.0209
Revenue Per Employee (TTM),655871.0
Total Debt/Total Capital (MRQ),0.3297
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.52
Interest Coverage (MRQ),5.62
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-01-16 00:00:00
theStreet since,2022-11-11 00:00:00
cfra since,2021-10-28 00:00:00
ford since,2021-12-10 00:00:00
marketEdge opinion since,
