,DDD
% Above Low,0.2807
% Held by Institutions,0.6523
52-Wk Range,['7.61 - 24.15']
Annual Dividend $,
Annual Dividend %,
Ask,9.75
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,1.5
Bid,9.08
Bid Size,200.0
Closing Price,9.74
Day Change $,-0.01
Day Change %,-0.001
Day High,9.79
Day Low,9.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.81
Ex-dividend Date,No dividend
Historical Volatility,0.628
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,9.75
Short Interest,0.0828
Today's Open,9.71
Volume,327757.0
Volume 10-day Avg,1468426.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.03125
Growth 2yr High Est,-1.4166666666666667
Growth 2yr Consensus Est,-0.6927083333333334
Growth 5yr Low Est,0.03125
Growth 5yr High Est,-1.4166666666666667
Growth 5yr Consensus Est,-0.6927083333333334
Growth 5yr Actual/Est,-1.6888063325563327
Growth 3yr Historic,-1.1789772727272727
Price/Earnings (TTM),
Price/Sales (TTM),2.29699
Price/Book (MRQ),1.73002
Price/Cash Flow (TTM),
5yr Low,4.6
5yr High,56.5
5yr Avg Return,0.10604999999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.0055355
Dividend Growth 5yr,
Short Int Current Month,10591931.0
Short Int Prev Month,9863902.0
Short Int Pct of Float,0.082832
Days to Cover,5.52838
Float,127.9336
Shares Outstanding,131.1618
Institutions Holding Shares,329.0
FCF Growth 5yr,0.10288112522686021
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.406
Operating Profit Margin (TTM),-0.16690000000000002
Net Profit Margin (TTM),-0.1862
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.132
EPS Growth (TTM),-1.3304
Revenue Growth (MRQ),-0.0556
Revenue Growth (TTM),-0.1311
Return On Equity (TTM),-0.1394
Return On Assets (TTM),-0.085
Return On Investment (TTM),-0.09789999999999999
Revenue Per Employee (TTM),323166.0
Total Debt/Total Capital (MRQ),0.38079999999999997
Change in Debt/Total Capital Quarter over Quarter,0.657
Quick Ratio (MRQ),4.85
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-09 00:00:00
cfra since,2021-01-07 00:00:00
ford since,2022-08-26 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-09 00:00:00
