,DDD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,24.01,Valuation,
Price/Sales (TTM),2.3,3.06,Valuation,0.7516339869281045
Price/Book (MRQ),1.73,7.44,Valuation,0.2325268817204301
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.406,0.32799999999999996,Profitability,1.2378048780487807
Operating Profit Margin (TTM),-0.16690000000000002,0.0198,Profitability,-8.429292929292929
Net Profit Margin (TTM),-0.1862,-0.0086,Profitability,21.651162790697676
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),-0.132,0.3518,Gowth rates,-0.3752131893121092
EPS Growth (TTM),-1.3304,0.16149999999999998,Gowth rates,-8.237770897832819
Revenue Growth (MRQ),-0.0556,0.196,Gowth rates,-0.28367346938775506
Revenue Growth (TTM),-0.1311,0.1475,Gowth rates,-0.8888135593220339
Return On Equity (TTM),-0.1394,0.2859,Effectiveness,-0.4875830710038475
Return On Assets (TTM),-0.085,0.0851,Effectiveness,-0.9988249118683903
Return On Investment (TTM),-0.09789999999999999,0.12490000000000001,Effectiveness,-0.7838270616493193
Revenue Per Employee (TTM),323166.0,343373.0,Effectiveness,0.9411514592003448
Total Debt/Total Capital (MRQ),0.38079999999999997,0.6352000000000001,Financial strength,0.5994962216624684
Change in Debt/Total Capital Quarter over Quarter,0.657,0.0189,Financial strength,34.761904761904766
Quick Ratio (MRQ),4.85,1.07,Financial strength,4.5327102803738315
Interest Coverage (MRQ),,20.9,Financial strength,
