,TRV
% Below High,0.0169
% Held by Institutions,0.83
52-Wk Range,['145.40 - 189.53']
Annual Dividend $,3.72
Annual Dividend %,0.0197
Ask,190.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,182.5
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,186.32
Day Change $,-2.59
Day Change %,-0.0137
Day High,189.11
Day Low,186.05
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",13.69
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.23800000000000002
Last (size),77700.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,43.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.8
Prev Close,188.91
Short Interest,0.015
Today's Open,188.42
Volume,1467595.0
Volume 10-day Avg,1211709.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.35730337078651675
Growth 1yr High Est,0.38235294117647056
Growth 1yr Consensus Est,0.36982815598149366
Growth 2yr Low Est,0.22790665228067553
Growth 2yr High Est,0.25323320817688777
Growth 2yr Consensus Est,0.24056993022878165
Growth 5yr Low Est,0.11395332614033776
Growth 5yr High Est,0.12661660408844388
Growth 5yr Consensus Est,0.12028496511439082
Growth 5yr Actual/Est,0.12071962569164268
Growth 3yr Historic,0.10545483460559796
Price/Earnings (TTM),13.80224
Price/Sales (TTM),1.21974
Price/Book (MRQ),2.22353
Price/Cash Flow (TTM),10.53309
5yr Low,76.99
5yr High,189.53
5yr Avg Return,0.06309999999999999
EPS Growth 5yr,0.0710793
Revenue Growth 5yr,0.0471507
Dividend Growth 5yr,0.062104400000000004
Short Int Current Month,3490601.0
Short Int Prev Month,3788355.0
Short Int Pct of Float,0.0149519
Days to Cover,2.46937
Float,233.8505
Shares Outstanding,234.3475
Institutions Holding Shares,1573.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",13.8
"PEG Ratio (TTM, GAAP)",2.36
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.12060000000000001
Net Profit Margin (TTM),0.0925
Annual Dividend Yield,0.0197
Dividend Change %,0.0359
"Dividend Growth Rate, 3 Years",0.051
EPS Growth (MRQ),-0.1663
EPS Growth (TTM),-0.0398
Revenue Growth (MRQ),0.0176
Revenue Growth (TTM),0.06
Return On Equity (TTM),0.1377
Return On Assets (TTM),0.0286
Return On Investment (TTM),
Revenue Per Employee (TTM),1178409.0
Total Debt/Total Capital (MRQ),0.2681
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),23.14
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2020-11-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-07-23 00:00:00
ford since,2022-08-26 00:00:00
marketEdge opinion since,
