,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,19.46,18.96,,,,,
low,13.28,6.88,,,,,
change,-0.11109999999999999,-0.27190000000000003,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,111.0,88.0,118.0,147.0,Balance Sheet
"Trade Accts Recvble, Gross",,,147.0,177.0,182.0,171.0,Balance Sheet
Prov. for Doubtful Accts,,,-4.0,-5.0,-5.0,-5.0,Balance Sheet
"Total Receivables, Net",,,142.0,172.0,176.0,166.0,Balance Sheet
Prepaid Expenses,,,19.0,14.0,17.0,17.0,Balance Sheet
"Other Curr. Assets, Total",,,5.0,1.0,1.0,1.0,Balance Sheet
Total Current Assets,,,277.0,275.0,313.0,331.0,Balance Sheet
Prop./Plant/Equip. - Net,,,11.0,20.0,44.0,48.0,Balance Sheet
"Goodwill, Net",,,820.0,817.0,810.0,802.0,Balance Sheet
Intangibles - Net,,,389.0,375.0,359.0,343.0,Balance Sheet
Deferred Charges,,,17.0,17.0,18.0,18.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,63.0,Balance Sheet
Other Long Term Assets,,,9.0,17.0,1.0,1.0,Balance Sheet
Total Assets,,,1524.0,1522.0,1545.0,1606.0,Balance Sheet
Accounts Payable,,,14.0,10.0,7.0,11.0,Balance Sheet
Accrued Expenses,,,101.0,77.0,79.0,72.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,8.0,8.0,8.0,8.0,Balance Sheet
"Other Curr. Lblts, Total",,,20.0,34.0,46.0,41.0,Balance Sheet
Total Current Liabilities,,,143.0,129.0,140.0,133.0,Balance Sheet
Total Long Term Debt,,,689.0,687.0,686.0,685.0,Balance Sheet
Total Debt,,,697.0,696.0,694.0,693.0,Balance Sheet
Deferred Income Tax,,,15.0,15.0,14.0,6.0,Balance Sheet
"Other Liabilities, Total",,,231.0,227.0,225.0,225.0,Balance Sheet
Total Liabilities,,,1078.0,1058.0,1066.0,1048.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,793.0,796.0,801.0,802.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-360.0,-349.0,-324.0,-231.0,Balance Sheet
Cum. Trans. Adjustment,,,1.0,-3.0,-13.0,-26.0,Balance Sheet
Other Comprehensive Income,,,12.0,19.0,15.0,12.0,Balance Sheet
"Other Equity, Total",,,13.0,16.0,2.0,-14.0,Balance Sheet
Total Equity,,,446.0,464.0,478.0,558.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1524.0,1522.0,1545.0,1606.0,Balance Sheet
Ttl Comm. Shares Outs.,,,79.0,79.0,79.0,79.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,198534.0,198711.0,222292.0,210303.0,Income Statement
"Cost of Revenue, Total",,,110839.0,112403.0,119990.0,110848.0,Income Statement
Selling/Gen/Admin Expense,,,56037.0,45667.0,50020.0,48289.0,Income Statement
Labor & Related Expense,,,2000.0,2600.0,4367.0,1089.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,58037.0,48267.0,54387.0,49378.0,Income Statement
Depreciation/Amortization,,,22344.0,18061.0,18049.0,17946.0,Income Statement
Total Operating Expense,,,191220.0,178731.0,192426.0,178172.0,Income Statement
Total Operating Income,,,7314.0,19980.0,29866.0,32131.0,Income Statement
"Inter Expse,Net Non-Operat",,,-20141.0,-7557.0,-4957.0,-8457.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,0.0,,,,Income Statement
OtherNon-OperatInc (Expnse),,,-407.0,-41.0,-33.0,-89.0,Income Statement
"Other, Net",,,-407.0,-41.0,-33.0,-89.0,Income Statement
Income Before Tax,,,-13234.0,12382.0,24876.0,23585.0,Income Statement
Income Tax - Total,,,-268.0,818.0,430.0,-69704.0,Income Statement
Income After Tax,,,-12966.0,11564.0,24446.0,93289.0,Income Statement
Net Inc Before Extra Items,,,-12966.0,11564.0,24446.0,93289.0,Income Statement
Total Net Income,,,-12966.0,11564.0,24446.0,93289.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-12966.0,11564.0,24446.0,93289.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-12966.0,11564.0,24446.0,93289.0,Income Statement
Basic/Primary Weighted Average Shares,,,79400.0,79393.0,79406.0,79460.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.16,0.15,0.31,1.17,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.16,0.15,0.31,1.17,Income Statement
Diluted Weighted Average Shares,,,79400.0,79393.0,79478.0,79543.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.16,0.15,0.31,1.17,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.16,0.15,0.31,1.17,Income Statement
Div/Share-ComStockPrimIssue,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,20141.0,7557.0,4957.0,8457.0,Income Statement
"Depreciat/Amort, Suppl",,,22344.0,18061.0,18049.0,17946.0,Income Statement
Total Special Items,,,9290.0,860.0,903.0,1943.0,Income Statement
Normalzd Income Before Tax,,,-3944.0,13242.0,25779.0,25528.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,3252.0,57.0,16.0,680.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,2984.0,875.0,446.0,-69024.0,Income Statement
Normalized Income After Tax,,,-6928.0,12367.0,25333.0,94552.0,Income Statement
Normalzd Inc Avail to Common,,,-6928.0,12367.0,25333.0,94552.0,Income Statement
Basic Normalized EPS,,,-0.09,0.16,0.32,1.19,Income Statement
Diluted Normalized EPS,,,-0.09,0.16,0.32,1.19,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-21303.0,11564.0,36010.0,129299.0,Cash Flow
Depreciation/Depletion,,,78357.0,18061.0,36110.0,54056.0,Cash Flow
Deferred Taxes,,,1485.0,205.0,243.0,-70954.0,Cash Flow
Unusual Items,,,5006.0,,,,Cash Flow
Other Non-Cash Items,,,12093.0,3858.0,8261.0,9636.0,Cash Flow
