,HRT
% Above Low,0.6943
% Held by Institutions,0.8798
52-Wk Range,['6.88 - 19.46']
Annual Dividend $,
Annual Dividend %,
Ask,12.19
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,11.1
Bid Size,100.0
Closing Price,11.65
Day Change $,0.87
Day Change %,0.08070000000000001
Day High,12.1
Day Low,11.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.46
Ex-dividend Date,No dividend
Historical Volatility,0.8290000000000001
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,926.0M
"P/E Ratio (TTM, GAAP)",7.96
Prev Close,10.78
Short Interest,0.04650000000000001
Today's Open,11.2
Volume,482824.0
Volume 10-day Avg,650368.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-13 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5622489959839357
Growth 2yr High Est,-0.42307692307692313
Growth 2yr Consensus Est,-0.49266295953042943
Growth 5yr Low Est,-0.5622489959839357
Growth 5yr High Est,-0.42307692307692313
Growth 5yr Consensus Est,-0.49266295953042943
Growth 5yr Actual/Est,0.2761620523241046
Growth 3yr Historic,0.0
Price/Earnings (TTM),7.9644
Price/Sales (TTM),1.11588
Price/Book (MRQ),1.66034
Price/Cash Flow (TTM),4.80457
5yr Low,6.88
5yr High,19.46
5yr Avg Return,-0.19149999999999998
Short Int Current Month,846472.0
Short Int Prev Month,944429.0
Short Int Pct of Float,0.046545199999999995
Days to Cover,1.64564
Float,67.56319
Shares Outstanding,79.48491
Institutions Holding Shares,111.0
FCF Growth 5yr,-1.7795262363141322
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",7.96
"PEG Ratio (TTM, GAAP)",2.04
Gross Profit Margin (TTM),0.45280000000000004
Operating Profit Margin (TTM),0.1076
Net Profit Margin (TTM),0.1402
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.8131
EPS Growth (TTM),
Revenue Growth (MRQ),-0.053899999999999997
Revenue Growth (TTM),
Return On Equity (TTM),0.28300000000000003
Return On Assets (TTM),0.076
Return On Investment (TTM),0.0836
Revenue Per Employee (TTM),300667.0
Total Debt/Total Capital (MRQ),0.5540999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0038
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.03
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
