,FARO
% Above Low,0.2552
% Held by Institutions,1.0007
52-Wk Range,['25.20 - 74.72']
Annual Dividend $,
Annual Dividend %,
Ask,50.52
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,12.77
Bid Size,200.0
Closing Price,31.63
Day Change $,-0.28
Day Change %,-0.0088
Day High,32.2
Day Low,31.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.08
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,594.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,31.91
Short Interest,0.0209
Today's Open,32.2
Volume,58728.0
Volume 10-day Avg,86247.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.5625
Growth 2yr High Est,2.1739130434782608
Growth 2yr Consensus Est,1.8682065217391304
Growth 5yr Low Est,1.5625
Growth 5yr High Est,2.1739130434782608
Growth 5yr Consensus Est,1.8682065217391304
Growth 5yr Actual/Est,-1.5991758241758243
Growth 3yr Historic,-1.9384615384615387
Price/Earnings (TTM),
Price/Sales (TTM),1.73631
Price/Book (MRQ),1.98326
Price/Cash Flow (TTM),
5yr Low,25.2
5yr High,97.88
5yr Avg Return,-0.028466666666666675
EPS Growth 5yr,
Revenue Growth 5yr,0.0074023000000000005
Dividend Growth 5yr,
Short Int Current Month,387845.0
Short Int Prev Month,486063.0
Short Int Pct of Float,0.0208626
Days to Cover,3.42956
Float,18.60207
Shares Outstanding,18.77982
Institutions Holding Shares,217.0
FCF Growth 5yr,0.3731633730770129
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5274
Operating Profit Margin (TTM),-0.0567
Net Profit Margin (TTM),-0.16440000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.27649999999999997
EPS Growth (TTM),-3.9819999999999998
Revenue Growth (MRQ),0.0678
Revenue Growth (TTM),0.0349
Return On Equity (TTM),-0.1714
Return On Assets (TTM),-0.1189
Return On Investment (TTM),-0.1481
Revenue Per Employee (TTM),238903.0
Total Debt/Total Capital (MRQ),0.001
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),1.67
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-02-22 00:00:00
researchTeam since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
