,FARO
Price/Earnings (TTM),
Price/Sales (TTM),1.73631
Price/Book (MRQ),1.98326
Price/Cash Flow (TTM),
5yr Low,25.2
5yr High,97.88
5yr Avg Return,-0.028466666666666675
EPS Growth 5yr,
Revenue Growth 5yr,0.0074023000000000005
Dividend Growth 5yr,
Short Int Current Month,387845.0
Short Int Prev Month,486063.0
Short Int Pct of Float,0.0208626
Days to Cover,3.42956
Float,18.60207
Shares Outstanding,18.77982
Institutions Holding Shares,217.0
% Held by Institutions,1.000667
FCF Growth 5yr,0.3731633730770129
