,FARO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,21.62,Valuation,
Price/Sales (TTM),1.74,5.43,Valuation,0.32044198895027626
Price/Book (MRQ),1.98,5.49,Valuation,0.360655737704918
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.5274,0.33659999999999995,Profitability,1.5668449197860963
Operating Profit Margin (TTM),-0.0567,-0.0824,Profitability,0.6881067961165048
Net Profit Margin (TTM),-0.16440000000000002,-0.1173,Profitability,1.40153452685422
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.27649999999999997,0.1058,Gowth rates,2.6134215500945177
EPS Growth (TTM),-3.9819999999999998,-0.0147,Gowth rates,270.88435374149657
Revenue Growth (MRQ),0.0678,0.1655,Gowth rates,0.40966767371601204
Revenue Growth (TTM),0.0349,0.1855,Gowth rates,0.1881401617250674
Return On Equity (TTM),-0.1714,0.23850000000000002,Effectiveness,-0.7186582809224318
Return On Assets (TTM),-0.1189,0.0752,Effectiveness,-1.5811170212765957
Return On Investment (TTM),-0.1481,0.1041,Effectiveness,-1.4226705091258407
Revenue Per Employee (TTM),238903.0,449465.0,Effectiveness,0.5315274826738455
Total Debt/Total Capital (MRQ),0.001,0.3575,Financial strength,0.002797202797202797
Change in Debt/Total Capital Quarter over Quarter,0.003,0.0362,Financial strength,0.08287292817679558
Quick Ratio (MRQ),1.67,1.53,Financial strength,1.091503267973856
Interest Coverage (MRQ),,15.46,Financial strength,
