,FIVE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.05,19.03,Valuation,1.9994745139253807
Price/Sales (TTM),3.08,1.93,Valuation,1.5958549222797929
Price/Book (MRQ),7.72,92.12,Valuation,0.08380373425966131
"PEG Ratio (TTM, GAAP)",3.02,7.27,Valuation,0.41540577716643745
Gross Profit Margin (TTM),0.3552,0.34390000000000004,Profitability,1.032858389066589
Operating Profit Margin (TTM),0.1127,0.11789999999999999,Profitability,0.9558948261238338
Net Profit Margin (TTM),0.0819,0.0818,Profitability,1.0012224938875307
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),0.26789999999999997,-0.10800000000000001,Gowth rates,-2.480555555555555
EPS Growth (TTM),-0.0767,0.0262,Gowth rates,-2.927480916030534
Revenue Growth (MRQ),0.045899999999999996,0.0478,Gowth rates,0.9602510460251045
Revenue Growth (TTM),0.1291,0.0874,Gowth rates,1.4771167048054918
Return On Equity (TTM),0.22030000000000002,5.2054,Effectiveness,0.04232143543243555
Return On Assets (TTM),0.0835,0.1562,Effectiveness,0.5345710627400768
Return On Investment (TTM),0.1042,0.26,Effectiveness,0.40076923076923077
Revenue Per Employee (TTM),477459.0,410011.0,Effectiveness,1.1645029035806356
Total Debt/Total Capital (MRQ),0.0,0.8926999999999999,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),0.63,0.39,Financial strength,1.6153846153846154
Interest Coverage (MRQ),,13.36,Financial strength,
