,HSTM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",83.19,-5.17,Valuation,-16.09090909090909
Price/Sales (TTM),2.92,11.27,Valuation,0.259094942324756
Price/Book (MRQ),2.32,5.79,Valuation,0.40069084628670115
"PEG Ratio (TTM, GAAP)",8.32,0.15,Valuation,55.46666666666667
Gross Profit Margin (TTM),0.6551,0.6652,Profitability,0.9848165965123271
Operating Profit Margin (TTM),0.0339,-0.46950000000000003,Profitability,-0.07220447284345047
Net Profit Margin (TTM),0.0352,-0.4687,Profitability,-0.0751013441433753
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.1833,-0.6163000000000001,Gowth rates,-0.2974200876196657
EPS Growth (TTM),0.33240000000000003,-0.35350000000000004,Gowth rates,-0.9403111739745403
Revenue Growth (MRQ),0.025099999999999997,0.24050000000000002,Gowth rates,0.10436590436590434
Revenue Growth (TTM),0.0332,0.3728,Gowth rates,0.0890557939914163
Return On Equity (TTM),0.0275,-0.09480000000000001,Effectiveness,-0.29008438818565396
Return On Assets (TTM),0.019,-0.1218,Effectiveness,-0.1559934318555008
Return On Investment (TTM),0.024100000000000003,-0.049,Effectiveness,-0.4918367346938776
Revenue Per Employee (TTM),244533.0,454654.0,Effectiveness,0.53784416281392
Total Debt/Total Capital (MRQ),0.0,0.2084,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.009000000000000001,Financial strength,
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),,-7.93,Financial strength,
