,HSTM
% Below High,0.0634
% Held by Institutions,0.7208
52-Wk Range,['18.51 - 26.80']
Annual Dividend $,
Annual Dividend %,
Ask,40.14
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.5
Bid,22.88
Bid Size,200.0
Closing Price,25.1
Day Change $,0.04
Day Change %,0.0016
Day High,25.28
Day Low,24.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.334
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,767.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",83.19
Prev Close,25.06
Short Interest,0.0149
Today's Open,24.97
Volume,48712.0
Volume 10-day Avg,160858.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.8421052631578947
Growth 1yr High Est,0.7272727272727273
Growth 1yr Consensus Est,0.784688995215311
Growth 2yr Low Est,0.3353383458646616
Growth 2yr High Est,0.35047846889952156
Growth 2yr Consensus Est,0.3429084073820916
Growth 5yr Low Est,0.04469710862522155
Growth 5yr High Est,0.053096757044125496
Growth 5yr Consensus Est,0.048896932834673536
Growth 5yr Actual/Est,-0.005246723996723962
Growth 3yr Historic,-0.11363636363636365
Price/Earnings (TTM),83.19247
Price/Sales (TTM),2.92194
Price/Book (MRQ),2.32342
Price/Cash Flow (TTM),16.34157
5yr Low,17.95
5yr High,31.86
5yr Avg Return,0.020533333333333334
EPS Growth 5yr,0.0435145
Revenue Growth 5yr,0.0596755
Dividend Growth 5yr,
Short Int Current Month,358586.0
Short Int Prev Month,308317.0
Short Int Pct of Float,0.014870300000000001
Days to Cover,1.94343
Float,24.14442
Shares Outstanding,30.57307
Institutions Holding Shares,228.0
FCF Growth 5yr,0.16902786699890693
"Price/Earnings (TTM, GAAP)",83.19
"PEG Ratio (TTM, GAAP)",8.32
Gross Profit Margin (TTM),0.6551
Operating Profit Margin (TTM),0.0339
Net Profit Margin (TTM),0.0352
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1833
EPS Growth (TTM),0.33240000000000003
Revenue Growth (MRQ),0.025099999999999997
Revenue Growth (TTM),0.0332
Return On Equity (TTM),0.0275
Return On Assets (TTM),0.019
Return On Investment (TTM),0.024100000000000003
Revenue Per Employee (TTM),244533.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-02-26 00:00:00
researchTeam since,2021-07-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-03-11 00:00:00
cfra since,
marketEdge opinion since,
