,CPRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.91,471.78,Valuation,0.05915893000975031
Price/Sales (TTM),9.21,45.03,Valuation,0.2045303131245836
Price/Book (MRQ),6.54,12.61,Valuation,0.5186360031720857
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8407,0.5874,Profitability,1.4312223357167178
Operating Profit Margin (TTM),0.4369,-4.7459,Profitability,-0.09205840831033103
Net Profit Margin (TTM),0.349,-4.5467,Profitability,-0.07675896804275627
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.026600000000000002,-0.0014000000000000002,Gowth rates,-19.0
EPS Growth (TTM),0.564,0.027200000000000002,Gowth rates,20.735294117647054
Revenue Growth (MRQ),0.07780000000000001,1.3963999999999999,Gowth rates,0.05571469492981955
Revenue Growth (TTM),0.43590000000000007,0.9747,Gowth rates,0.4472145275469376
Return On Equity (TTM),0.28550000000000003,0.1967,Effectiveness,1.4514489069649212
Return On Assets (TTM),0.24059999999999998,0.0016,Effectiveness,150.37499999999997
Return On Investment (TTM),0.2725,0.0219,Effectiveness,12.442922374429225
Revenue Per Employee (TTM),2523092.0,1476201.0,Effectiveness,1.7091791700452716
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),6.02,2.06,Financial strength,2.9223300970873782
Interest Coverage (MRQ),,2.69,Financial strength,
