,CPRX
% Below High,0.044500000000000005
% Held by Institutions,0.8129000000000001
52-Wk Range,['5.24 - 17.76']
Annual Dividend $,
Annual Dividend %,
Ask,17.2
Ask Size,1800.0
B/A Ratio,0.5555555555555556
B/A Size,1000x1800
Beta,1.2
Bid,17.0
Bid Size,1000.0
Closing Price,16.97
Day Change $,-0.06
Day Change %,-0.0034999999999999996
Day High,17.11
Day Low,16.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.58
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",27.91
Prev Close,17.03
Short Interest,0.0681
Today's Open,16.93
Volume,1008798.0
Volume 10-day Avg,3043165.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.05970149253731338
Growth 1yr High Est,0.05633802816901423
Growth 1yr Consensus Est,0.05801976035316381
Growth 2yr Low Est,0.043935253310910194
Growth 2yr High Est,0.18816901408450715
Growth 2yr Consensus Est,0.11605213369770867
Growth 5yr Low Est,0.02929016887394013
Growth 5yr High Est,0.12544600938967143
Growth 5yr Consensus Est,0.07736808913180578
Growth 5yr Actual/Est,0.5165614630644536
Growth 3yr Historic,0.22194835680751174
Price/Earnings (TTM),27.91027
Price/Sales (TTM),9.21014
Price/Book (MRQ),6.53966
Price/Cash Flow (TTM),26.13566
5yr Low,1.85
5yr High,17.76
5yr Avg Return,0.48581666666666673
Short Int Current Month,6674323.0
Short Int Prev Month,8060255.0
Short Int Pct of Float,0.0680663
Days to Cover,2.491
Float,97.65855
Shares Outstanding,104.0714
Institutions Holding Shares,294.0
FCF Growth 5yr,1.1403355215075186
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",27.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8407
Operating Profit Margin (TTM),0.4369
Net Profit Margin (TTM),0.349
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.026600000000000002
EPS Growth (TTM),0.564
Revenue Growth (MRQ),0.07780000000000001
Revenue Growth (TTM),0.43590000000000007
Return On Equity (TTM),0.28550000000000003
Return On Assets (TTM),0.24059999999999998
Return On Investment (TTM),0.2725
Revenue Per Employee (TTM),2523092.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.02
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
theStreet since,2021-02-19 00:00:00
newConstructs since,
marketEdge opinion since,
