,TRUP
% Above Low,0.2443
% Held by Institutions,1.0386
52-Wk Range,['40.77 - 158.25']
Annual Dividend $,
Annual Dividend %,
Ask,51.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,50.34
Bid Size,100.0
Closing Price,50.73
Day Change $,-3.4
Day Change %,-0.06280000000000001
Day High,54.0
Day Low,50.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,0.838
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,2.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,54.13
Short Interest,0.2164
Today's Open,53.37
Volume,631003.0
Volume 10-day Avg,784650.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,14.875
Growth 1yr High Est,21.0
Growth 1yr Consensus Est,17.9375
Growth 2yr Low Est,7.4375
Growth 2yr High Est,10.090909090909092
Growth 2yr Consensus Est,8.764204545454547
Growth 5yr Low Est,3.71875
Growth 5yr High Est,5.045454545454546
Growth 5yr Consensus Est,4.3821022727272725
Growth 5yr Actual/Est,1.7125883862843856
Growth 3yr Historic,1.6906249999999998
Price/Earnings (TTM),
Price/Sales (TTM),2.59274
Price/Book (MRQ),7.23651
Price/Cash Flow (TTM),
5yr Low,20.84
5yr High,158.25
5yr Avg Return,0.32103333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.3000395
Dividend Growth 5yr,
Short Int Current Month,8042050.0
Short Int Prev Month,7934978.0
Short Int Pct of Float,0.216358
Days to Cover,7.95426
Float,37.20052
Shares Outstanding,40.88365
Institutions Holding Shares,285.0
FCF Growth 5yr,0.6331057292311145
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.13949999999999999
Operating Profit Margin (TTM),-0.0461
Net Profit Margin (TTM),-0.0497
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.053099999999999994
EPS Growth (TTM),-0.2959
Revenue Growth (MRQ),0.0654
Revenue Growth (TTM),0.3186
Return On Equity (TTM),-0.1331
Return On Assets (TTM),-0.0708
Return On Investment (TTM),-0.1202
Revenue Per Employee (TTM),754685.0
Total Debt/Total Capital (MRQ),0.15050000000000002
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-7.95
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-04-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
