,TRUP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.61,Valuation,
Price/Sales (TTM),2.59,2.33,Valuation,1.1115879828326178
Price/Book (MRQ),7.24,3.82,Valuation,1.8952879581151834
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),0.13949999999999999,0.0226,Profitability,6.172566371681416
Operating Profit Margin (TTM),-0.0461,0.1298,Profitability,-0.35516178736517723
Net Profit Margin (TTM),-0.0497,0.10460000000000001,Profitability,-0.47514340344168254
Annual Dividend Yield,,0.0168,Dividend,
Dividend Change %,,-0.0075,Dividend,
"Dividend Growth Rate, 3 Years",,0.0225,Dividend,
EPS Growth (MRQ),0.053099999999999994,-0.0779,Gowth rates,-0.6816431322207959
EPS Growth (TTM),-0.2959,-0.005200000000000001,Gowth rates,56.903846153846146
Revenue Growth (MRQ),0.0654,0.0897,Gowth rates,0.7290969899665551
Revenue Growth (TTM),0.3186,0.042800000000000005,Gowth rates,7.443925233644859
Return On Equity (TTM),-0.1331,0.3775,Effectiveness,-0.35258278145695365
Return On Assets (TTM),-0.0708,0.031200000000000002,Effectiveness,-2.269230769230769
Return On Investment (TTM),-0.1202,0.035,Effectiveness,-3.434285714285714
Revenue Per Employee (TTM),754685.0,1261907.0,Effectiveness,0.5980512034563561
Total Debt/Total Capital (MRQ),0.15050000000000002,0.4026,Financial strength,0.37382016890213615
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-7.95,10.79,Financial strength,-0.736793327154773
