,WWD
% Above Low,0.1927
% Held by Institutions,0.8323
52-Wk Range,['79.26 - 129.12']
Annual Dividend $,0.76
Annual Dividend %,0.0077
Ask,95.23
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,94.08
Bid Size,100.0
Closing Price,94.53
Day Change $,-4.2
Day Change %,-0.0425
Day High,98.11
Day Low,94.3
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",2.73
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.329
Last (size),776.0
Last (time),4:00p ET 11/28/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.23
Prev Close,98.73
Short Interest,0.024399999999999998
Today's Open,97.84
Volume,394451.0
Volume 10-day Avg,357490.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.254826254826255
Growth 1yr High Est,0.28623188405797095
Growth 1yr Consensus Est,0.27052906944211297
Growth 2yr Low Est,0.20433620433620436
Growth 2yr High Est,0.305087773014901
Growth 2yr Consensus Est,0.25471198867555267
Growth 5yr Low Est,0.07352821145924597
Growth 5yr High Est,0.14386803915279112
Growth 5yr Consensus Est,0.10869812530601854
Growth 5yr Actual/Est,0.038327721661055
Growth 3yr Historic,-0.08326318742985409
Price/Earnings (TTM),36.22907
Price/Sales (TTM),2.47629
Price/Book (MRQ),3.10312
Price/Cash Flow (TTM),20.15327
5yr Low,46.51
5yr High,130.75
5yr Avg Return,0.061550000000000014
EPS Growth 5yr,-0.0297564
Revenue Growth 5yr,0.0257174
Dividend Growth 5yr,0.0859584
Short Int Current Month,1444933.0
Short Int Prev Month,1444907.0
Short Int Pct of Float,0.024443700000000002
Days to Cover,4.9794
Float,59.169
Shares Outstanding,59.76375
Institutions Holding Shares,390.0
FCF Growth 5yr,0.9181111995616731
"Price/Earnings (TTM, GAAP)",36.23
"PEG Ratio (TTM, GAAP)",1.67
Gross Profit Margin (TTM),0.2205
Operating Profit Margin (TTM),0.0919
Net Profit Margin (TTM),0.0721
Annual Dividend Yield,0.0077
Dividend Change %,0.2879
"Dividend Growth Rate, 3 Years",0.051500000000000004
EPS Growth (MRQ),0.3898
EPS Growth (TTM),-0.1435
Revenue Growth (MRQ),0.0418
Revenue Growth (TTM),0.061
Return On Equity (TTM),0.0834
Return On Assets (TTM),0.0435
Return On Investment (TTM),0.049100000000000005
Revenue Per Employee (TTM),287083.0
Total Debt/Total Capital (MRQ),0.2902
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),1.48
Interest Coverage (MRQ),12.39
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-01 00:00:00
ford since,2022-03-11 00:00:00
cfra since,
marketEdge opinion since,
