,WWD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",36.23,50.64,Valuation,0.7154423380726698
Price/Sales (TTM),2.48,4.74,Valuation,0.5232067510548523
Price/Book (MRQ),3.1,4.28,Valuation,0.7242990654205608
"PEG Ratio (TTM, GAAP)",1.67,1.95,Valuation,0.8564102564102564
Gross Profit Margin (TTM),0.2205,0.19460000000000002,Profitability,1.133093525179856
Operating Profit Margin (TTM),0.0919,-0.5263,Profitability,-0.1746152384571537
Net Profit Margin (TTM),0.0721,-0.5391,Profitability,-0.13374142088666294
Annual Dividend Yield,0.0077,0.0139,Dividend,0.5539568345323741
Dividend Change %,0.2879,0.0564,Dividend,5.1046099290780145
"Dividend Growth Rate, 3 Years",0.051500000000000004,0.0055000000000000005,Dividend,9.363636363636363
EPS Growth (MRQ),0.3898,-3.8235,Gowth rates,-0.1019484765267425
EPS Growth (TTM),-0.1435,0.2595,Gowth rates,-0.5529865125240847
Revenue Growth (MRQ),0.0418,0.0689,Gowth rates,0.606676342525399
Revenue Growth (TTM),0.061,0.0147,Gowth rates,4.149659863945578
Return On Equity (TTM),0.0834,0.1825,Effectiveness,0.456986301369863
Return On Assets (TTM),0.0435,0.047,Effectiveness,0.925531914893617
Return On Investment (TTM),0.049100000000000005,0.0521,Effectiveness,0.9424184261036469
Revenue Per Employee (TTM),287083.0,411752.0,Effectiveness,0.6972230857409314
Total Debt/Total Capital (MRQ),0.2902,0.5861,Financial strength,0.4951373485753285
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,-0.0001,Financial strength,-14.000000000000002
Quick Ratio (MRQ),1.48,1.06,Financial strength,1.3962264150943395
Interest Coverage (MRQ),12.39,7.88,Financial strength,1.5723350253807107
