,MSM
% Below High,0.044199999999999996
% Held by Institutions,0.9014
52-Wk Range,['71.33 - 87.99']
Annual Dividend $,3.16
Annual Dividend %,0.037599999999999995
Ask,100.01
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,84.1
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",6.06
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.237
Last (size),549.0
Last (time),5:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.87
Prev Close,84.1
Short Interest,0.0167
Today's Open,
Volume,172831.0
Volume 10-day Avg,305006.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.08177172061328797
Growth 1yr High Est,0.008000000000000007
Growth 1yr Consensus Est,-0.03688586030664398
Growth 2yr Low Est,-0.03995821652185727
Growth 2yr High Est,0.04447619047619045
Growth 2yr Consensus Est,0.0022589869771665883
Growth 5yr Low Est,0.05573494140388108
Growth 5yr High Est,0.10626716141001852
Growth 5yr Consensus Est,0.0810010514069498
Growth 5yr Actual/Est,0.07459410965947674
Growth 3yr Historic,0.07333855276893253
Price/Earnings (TTM),13.86905
Price/Sales (TTM),1.27278
Price/Book (MRQ),3.47956
Price/Cash Flow (TTM),11.43697
5yr Low,44.93
5yr High,99.94
5yr Avg Return,0.006150000000000002
EPS Growth 5yr,0.0839545
Revenue Growth 5yr,0.0503598
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,761141.0
Short Int Prev Month,873177.0
Short Int Pct of Float,0.0167162
Days to Cover,2.58961
Float,45.76209
Shares Outstanding,55.8736
Institutions Holding Shares,463.0
FCF Growth 5yr,1.035144087297024
"Price/Earnings (TTM, GAAP)",13.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.42210000000000003
Operating Profit Margin (TTM),0.127
Net Profit Margin (TTM),0.0922
Annual Dividend Yield,0.0376
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0435
EPS Growth (MRQ),0.0446
EPS Growth (TTM),0.569
Revenue Growth (MRQ),0.0664
Revenue Growth (TTM),0.1383
Return On Equity (TTM),0.2717
Return On Assets (TTM),0.13119999999999998
Return On Investment (TTM),0.17550000000000002
Revenue Per Employee (TTM),545734.0
Total Debt/Total Capital (MRQ),0.36840000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.14
Interest Coverage (MRQ),23.45
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2021-11-11 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
