,MSM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.87,17.46,Valuation,0.7943871706758304
Price/Sales (TTM),1.27,2.11,Valuation,0.6018957345971564
Price/Book (MRQ),3.48,6.17,Valuation,0.5640194489465155
"PEG Ratio (TTM, GAAP)",,0.31,Valuation,
Gross Profit Margin (TTM),0.42210000000000003,0.42710000000000004,Profitability,0.9882931397799111
Operating Profit Margin (TTM),0.127,0.14730000000000001,Profitability,0.8621860149355057
Net Profit Margin (TTM),0.0922,0.0835,Profitability,1.1041916167664672
Annual Dividend Yield,0.0376,0.0125,Dividend,3.008
Dividend Change %,0.0,0.053099999999999994,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0435,0.0517,Dividend,0.8413926499032881
EPS Growth (MRQ),0.0446,0.4814,Gowth rates,0.09264644786040716
EPS Growth (TTM),0.569,0.5656,Gowth rates,1.0060113154172559
Revenue Growth (MRQ),0.0664,0.1985,Gowth rates,0.33450881612090677
Revenue Growth (TTM),0.1383,0.2242,Gowth rates,0.6168599464763604
Return On Equity (TTM),0.2717,0.3129,Effectiveness,0.8683285394694791
Return On Assets (TTM),0.13119999999999998,0.1319,Effectiveness,0.9946929492039424
Return On Investment (TTM),0.17550000000000002,0.17420000000000002,Effectiveness,1.007462686567164
Revenue Per Employee (TTM),545734.0,1897425.0,Effectiveness,0.28761821942896293
Total Debt/Total Capital (MRQ),0.36840000000000006,0.4449,Financial strength,0.828051247471342
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0005,Financial strength,-1.7999999999999998
Quick Ratio (MRQ),1.14,1.09,Financial strength,1.0458715596330272
Interest Coverage (MRQ),23.45,26.1,Financial strength,0.8984674329501915
