,AADI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),29.57,45.03,Valuation,0.6566733288918498
Price/Book (MRQ),1.92,12.61,Valuation,0.15226011102299764
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8077,0.5874,Profitability,1.3750425604358187
Operating Profit Margin (TTM),-5.7471000000000005,-4.7459,Profitability,1.2109610400556272
Net Profit Margin (TTM),-5.6957,-4.5467,Profitability,1.2527107572525127
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.2189,-0.0014000000000000002,Gowth rates,-156.35714285714283
EPS Growth (TTM),0.7442000000000001,0.027200000000000002,Gowth rates,27.36029411764706
Revenue Growth (MRQ),0.23510000000000003,1.3963999999999999,Gowth rates,0.1683615010025781
Revenue Growth (TTM),90.575,0.9747,Gowth rates,92.9260285215964
Return On Equity (TTM),-0.3911,0.1967,Effectiveness,-1.9883070665988813
Return On Assets (TTM),-0.34500000000000003,0.0016,Effectiveness,-215.625
Return On Investment (TTM),-0.3754,0.0219,Effectiveness,-17.141552511415526
Revenue Per Employee (TTM),281769.0,1476201.0,Effectiveness,0.1908744134436977
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0036,Financial strength,-2.777777777777778
Quick Ratio (MRQ),10.57,2.06,Financial strength,5.131067961165049
Interest Coverage (MRQ),,2.69,Financial strength,
