,AADI
% Above Low,0.2109
% Held by Institutions,0.6271
52-Wk Range,['11.00 - 26.60']
Annual Dividend $,
Annual Dividend %,
Ask,20.73
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.3
Bid,12.85
Bid Size,500.0
Closing Price,13.32
Day Change $,0.15
Day Change %,0.011399999999999999
Day High,13.43
Day Low,13.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.97
Ex-dividend Date,No dividend
Historical Volatility,0.638
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,324.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.17
Short Interest,0.055
Today's Open,13.3
Volume,28331.0
Volume 10-day Avg,83176.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,4.0344827586206895
Growth 1yr High Est,3.8793103448275863
Growth 1yr Consensus Est,3.956896551724138
Growth 2yr Low Est,2.0514879546528104
Growth 2yr High Est,1.8159802607530158
Growth 2yr Consensus Est,1.933734107702913
Growth 5yr Low Est,1.0257439773264052
Growth 5yr High Est,0.9079901303765079
Growth 5yr Consensus Est,0.9668670538514565
Growth 5yr Actual/Est,1.3898287656506967
Growth 3yr Historic,1.6121929824561403
Price/Earnings (TTM),
Price/Sales (TTM),29.56984
Price/Book (MRQ),1.92151
Price/Cash Flow (TTM),
5yr Low,6.3
5yr High,82.5
5yr Avg Return,-0.10236666666666665
Short Int Current Month,1061468.0
Short Int Prev Month,937861.0
Short Int Pct of Float,0.0549963
Days to Cover,10.56765
Float,20.63551
Shares Outstanding,24.39512
Institutions Holding Shares,91.0
FCF Growth 5yr,0.23397836769851188
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8077
Operating Profit Margin (TTM),-5.7471000000000005
Net Profit Margin (TTM),-5.6957
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2189
EPS Growth (TTM),0.7442000000000001
Revenue Growth (MRQ),0.23510000000000003
Revenue Growth (TTM),90.575
Return On Equity (TTM),-0.3911
Return On Assets (TTM),-0.34500000000000003
Return On Investment (TTM),-0.3754
Revenue Per Employee (TTM),281769.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),10.57
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
