,ORLY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.13,19.03,Valuation,1.373095112979506
Price/Sales (TTM),3.81,1.93,Valuation,1.9740932642487048
Price/Book (MRQ),,92.12,Valuation,
"PEG Ratio (TTM, GAAP)",2.4,7.27,Valuation,0.33012379642365886
Gross Profit Margin (TTM),0.5166,0.34390000000000004,Profitability,1.502180866530968
Operating Profit Margin (TTM),0.2097,0.11789999999999999,Profitability,1.7786259541984735
Net Profit Margin (TTM),0.1539,0.0818,Profitability,1.8814180929095357
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),0.0441,-0.10800000000000001,Gowth rates,-0.40833333333333327
EPS Growth (TTM),0.135,0.0262,Gowth rates,5.152671755725191
Revenue Growth (MRQ),0.0348,0.0478,Gowth rates,0.7280334728033472
Revenue Growth (TTM),0.09269999999999999,0.0874,Gowth rates,1.060640732265446
Return On Equity (TTM),,5.2054,Effectiveness,
Return On Assets (TTM),0.18,0.1562,Effectiveness,1.1523687580025608
Return On Investment (TTM),0.3864,0.26,Effectiveness,1.4861538461538462
Revenue Per Employee (TTM),204675.0,410011.0,Effectiveness,0.4991939240654519
Total Debt/Total Capital (MRQ),1.3808000000000002,0.8926999999999999,Financial strength,1.5467682312086932
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0016,Financial strength,0.625
Quick Ratio (MRQ),0.09,0.39,Financial strength,0.23076923076923075
Interest Coverage (MRQ),20.24,13.36,Financial strength,1.5149700598802394
