,ORLY
% Below High,0.0059
% Held by Institutions,0.8314
52-Wk Range,['562.90 - 858.38']
Annual Dividend $,
Annual Dividend %,
Ask,854.06
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,852.55
Bid Size,200.0
Day Change $,-2.67
Day Change %,-0.0031
Day High,854.52
Day Low,851.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",32.76
Ex-dividend Date,No dividend
Historical Volatility,0.3
Last (size),100.0
Last (time),9:39a ET 11/28/22
Market Cap,53.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.13
Prev Close,855.97
Price,853.31
Short Interest,0.0158
Today's Open,851.24
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.39520697167756014
Growth 1yr High Est,0.4078780177890726
Growth 1yr Consensus Est,0.4015424947333164
Growth 2yr Low Est,0.2519445226907475
Growth 2yr High Est,0.2832109703867144
Growth 2yr Consensus Est,0.26757774653873095
Growth 5yr Low Est,0.19776138080695538
Growth 5yr High Est,0.21861379544266463
Growth 5yr Consensus Est,0.20818758812481
Growth 5yr Actual/Est,0.20557479864141687
Growth 3yr Historic,0.15942812070078566
Price/Earnings (TTM),26.12795
Price/Sales (TTM),3.81046
Price/Book (MRQ),
Price/Cash Flow (TTM),21.32576
5yr Low,217.64
5yr High,855.19
5yr Avg Return,0.2653833333333333
EPS Growth 5yr,0.23718019999999998
Revenue Growth 5yr,0.0917425
Dividend Growth 5yr,
Short Int Current Month,978097.0
Short Int Prev Month,817487.0
Short Int Pct of Float,0.015821099999999998
Days to Cover,2.01598
Float,61.8393
Shares Outstanding,62.57591
Institutions Holding Shares,1460.0
FCF Growth 5yr,0.29512974772144224
"Price/Earnings (TTM, GAAP)",26.13
"PEG Ratio (TTM, GAAP)",2.4
Gross Profit Margin (TTM),0.5166
Operating Profit Margin (TTM),0.2097
Net Profit Margin (TTM),0.1539
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0441
EPS Growth (TTM),0.135
Revenue Growth (MRQ),0.0348
Revenue Growth (TTM),0.09269999999999999
Return On Equity (TTM),
Return On Assets (TTM),0.18
Return On Investment (TTM),0.3864
Revenue Per Employee (TTM),204675.0
Total Debt/Total Capital (MRQ),1.3808000000000002
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),0.09
Interest Coverage (MRQ),20.24
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-03-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-28 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
