,BCRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),9.6,45.03,Valuation,0.21319120586275814
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9811,0.5874,Profitability,1.670241743275451
Operating Profit Margin (TTM),-0.4129,-4.7459,Profitability,0.08700141174487452
Net Profit Margin (TTM),-0.8109000000000001,-4.5467,Profitability,0.17834913233773947
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.2798,-0.0014000000000000002,Gowth rates,-199.85714285714283
EPS Growth (TTM),0.1812,0.027200000000000002,Gowth rates,6.661764705882352
Revenue Growth (MRQ),0.15710000000000002,1.3963999999999999,Gowth rates,0.11250358063592096
Revenue Growth (TTM),1.0911,0.9747,Gowth rates,1.1194213604185903
Return On Equity (TTM),,0.1967,Effectiveness,
Return On Assets (TTM),-0.46909999999999996,0.0016,Effectiveness,-293.18749999999994
Return On Investment (TTM),-0.6349,0.0219,Effectiveness,-28.990867579908677
Revenue Per Employee (TTM),666034.0,1476201.0,Effectiveness,0.45118110609598555
Total Debt/Total Capital (MRQ),1.5152,0.4675,Financial strength,3.2410695187165777
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0036,Financial strength,0.3333333333333333
Quick Ratio (MRQ),5.9,2.06,Financial strength,2.8640776699029127
Interest Coverage (MRQ),-0.74,2.69,Financial strength,-0.275092936802974
