,BCRX
% Above Low,0.6137
% Held by Institutions,0.7890999999999999
52-Wk Range,['7.61 - 19.99']
Annual Dividend $,
Annual Dividend %,
Ask,12.95
Ask Size,13000.0
B/A Ratio,0.07692307692307693
B/A Size,1000x13000
Beta,2.0
Bid,12.1
Bid Size,1000.0
Closing Price,12.28
Day Change $,-0.11
Day Change %,-0.0089
Day High,12.4
Day Low,12.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,0.84
Last (size),23.0
Last (time),12:59p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.39
Short Interest,0.15439999999999998
Today's Open,12.31
Volume,647845.0
Volume 10-day Avg,2180909.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.2877697841726621
Growth 2yr High Est,-1.0987654320987654
Growth 2yr Consensus Est,-0.4054978239630517
Growth 5yr Low Est,0.2877697841726621
Growth 5yr High Est,-1.0987654320987654
Growth 5yr Consensus Est,-0.4054978239630517
Growth 5yr Actual/Est,-0.024270194960296115
Growth 3yr Historic,0.026132149131368382
Price/Earnings (TTM),
Price/Sales (TTM),9.60109
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,1.38
5yr High,19.99
5yr Avg Return,0.3127666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.4292491
Dividend Growth 5yr,
Short Int Current Month,27874049.0
Short Int Prev Month,27629357.0
Short Int Pct of Float,0.1543783
Days to Cover,7.19154
Float,184.5591
Shares Outstanding,186.4238
Institutions Holding Shares,304.0
FCF Growth 5yr,0.06874298704772719
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9811
Operating Profit Margin (TTM),-0.4129
Net Profit Margin (TTM),-0.8109000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2798
EPS Growth (TTM),0.1812
Revenue Growth (MRQ),0.15710000000000002
Revenue Growth (TTM),1.0911
Return On Equity (TTM),
Return On Assets (TTM),-0.46909999999999996
Return On Investment (TTM),-0.6349
Revenue Per Employee (TTM),666034.0
Total Debt/Total Capital (MRQ),1.5152
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),5.9
Interest Coverage (MRQ),-0.74
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam,rating-box
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-02-26 00:00:00
theStreet since,
researchTeam since,
