,CBZ
% Below High,0.0148
% Held by Institutions,0.9153
52-Wk Range,['35.32 - 50.57']
Annual Dividend $,
Annual Dividend %,
Ask,70.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,46.51
Bid Size,100.0
Closing Price,49.82
Day Change $,0.51
Day Change %,0.0103
Day High,50.32
Day Low,49.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.03
Ex-dividend Date,No dividend
Historical Volatility,0.275
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.5
Prev Close,49.31
Short Interest,0.0121
Today's Open,49.61
Volume,111375.0
Volume 10-day Avg,197287.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.47794117647058787
Growth 1yr High Est,0.41549295774647876
Growth 1yr Consensus Est,0.4467170671085333
Growth 2yr Low Est,0.31110989171788106
Growth 2yr High Est,0.30476140424637377
Growth 2yr Consensus Est,0.3079356479821274
Growth 5yr Low Est,0.18654668139613062
Growth 5yr High Est,0.181908261178305
Growth 5yr Consensus Est,0.1842274712872178
Growth 5yr Actual/Est,0.18926239553819738
Growth 3yr Historic,0.013804457953394161
Price/Earnings (TTM),24.49951
Price/Sales (TTM),1.86244
Price/Book (MRQ),3.29383
Price/Cash Flow (TTM),18.20413
5yr Low,14.35
5yr High,50.57
5yr Avg Return,0.23498333333333335
EPS Growth 5yr,0.1170769
Revenue Growth 5yr,0.0667602
Dividend Growth 5yr,
Short Int Current Month,584531.0
Short Int Prev Month,835913.0
Short Int Pct of Float,0.012103299999999999
Days to Cover,2.33627
Float,48.29521
Shares Outstanding,50.83271
Institutions Holding Shares,275.0
FCF Growth 5yr,-0.5771764974477983
"Price/Earnings (TTM, GAAP)",24.5
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1727
Operating Profit Margin (TTM),0.1245
Net Profit Margin (TTM),0.0789
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1162
EPS Growth (TTM),0.3661
Revenue Growth (MRQ),0.0036
Revenue Growth (TTM),0.267
Return On Equity (TTM),0.1435
Return On Assets (TTM),0.05940000000000001
Return On Investment (TTM),0.0791
Revenue Per Employee (TTM),226627.0
Total Debt/Total Capital (MRQ),0.2594
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),
Interest Coverage (MRQ),18.5
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-05-07 00:00:00
