,CBZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.5,75.74,Valuation,0.32347504621072093
Price/Sales (TTM),1.86,5.07,Valuation,0.3668639053254438
Price/Book (MRQ),3.29,7.18,Valuation,0.4582172701949861
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.1727,0.49210000000000004,Profitability,0.35094492989229825
Operating Profit Margin (TTM),0.1245,0.10619999999999999,Profitability,1.172316384180791
Net Profit Margin (TTM),0.0789,0.055,Profitability,1.4345454545454546
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),-0.1162,-18.5673,Gowth rates,0.006258314348343594
EPS Growth (TTM),0.3661,-0.2057,Gowth rates,-1.779776373359261
Revenue Growth (MRQ),0.0036,0.10880000000000001,Gowth rates,0.03308823529411764
Revenue Growth (TTM),0.267,0.11970000000000001,Gowth rates,2.2305764411027567
Return On Equity (TTM),0.1435,0.1999,Effectiveness,0.7178589294647323
Return On Assets (TTM),0.05940000000000001,0.0565,Effectiveness,1.0513274336283187
Return On Investment (TTM),0.0791,0.0848,Effectiveness,0.9327830188679246
Revenue Per Employee (TTM),226627.0,417216.0,Effectiveness,0.543188660070563
Total Debt/Total Capital (MRQ),0.2594,0.4147,Financial strength,0.6255124186158669
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0070999999999999995,Financial strength,0.4084507042253521
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),18.5,18.36,Financial strength,1.0076252723311547
