,SNX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.05,21.62,Valuation,0.8348751156336726
Price/Sales (TTM),0.16,5.43,Valuation,0.029465930018416207
Price/Book (MRQ),1.26,5.49,Valuation,0.22950819672131148
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.0613,0.33659999999999995,Profitability,0.1821152703505645
Operating Profit Margin (TTM),0.0146,-0.0824,Profitability,-0.17718446601941748
Net Profit Margin (TTM),0.0089,-0.1173,Profitability,-0.07587382779198636
Annual Dividend Yield,0.0116,0.0088,Dividend,1.3181818181818181
Dividend Change %,-0.5,0.0488,Dividend,-10.245901639344261
"Dividend Growth Rate, 3 Years",-0.34140000000000004,0.046,Dividend,-7.4217391304347835
EPS Growth (MRQ),0.0031,0.1058,Gowth rates,0.02930056710775047
EPS Growth (TTM),-0.2639,-0.0147,Gowth rates,17.952380952380956
Revenue Growth (MRQ),0.005699999999999999,0.1655,Gowth rates,0.034441087613293044
Revenue Growth (TTM),1.7894,0.1855,Gowth rates,9.646361185983828
Return On Equity (TTM),0.10800000000000001,0.23850000000000002,Effectiveness,0.4528301886792453
Return On Assets (TTM),0.0278,0.0752,Effectiveness,0.36968085106382975
Return On Investment (TTM),0.0559,0.1041,Effectiveness,0.5369836695485111
Revenue Per Employee (TTM),2804869.0,449465.0,Effectiveness,6.24046143748679
Total Debt/Total Capital (MRQ),0.3473,0.3575,Financial strength,0.9714685314685315
Change in Debt/Total Capital Quarter over Quarter,-0.0063,0.0362,Financial strength,-0.17403314917127072
Quick Ratio (MRQ),0.64,1.53,Financial strength,0.41830065359477125
Interest Coverage (MRQ),5.52,15.46,Financial strength,0.3570504527813712
