,SNX
% Below High,0.16149999999999998
% Held by Institutions,0.8547
52-Wk Range,['78.87 - 119.30']
Annual Dividend $,1.2
Annual Dividend %,0.0116
Ask,100.12
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,100.0
Bid Size,100.0
Day Change $,-3.04
Day Change %,-0.029500000000000002
Day High,102.04
Day Low,100.03
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",5.71
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.341
Last (size),1.0
Last (time),2:45p ET 11/28/22
Market Cap,9.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.05
Prev Close,103.07
Price,100.03
Short Interest,0.011000000000000001
Today's Open,102.04
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-10 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.07548845470692722
Growth 2yr High Est,0.11438474870017323
Growth 2yr Consensus Est,0.09493660170355023
Growth 5yr Low Est,0.07548845470692722
Growth 5yr High Est,0.11438474870017323
Growth 5yr Consensus Est,0.09493660170355023
Growth 5yr Actual/Est,0.00594665349770207
Growth 3yr Historic,-0.07029782223280678
Price/Earnings (TTM),18.05357
Price/Sales (TTM),0.1596
Price/Book (MRQ),1.25944
Price/Cash Flow (TTM),9.74095
5yr Low,52.06
5yr High,164.74
5yr Avg Return,0.01606666666666667
EPS Growth 5yr,0.011771799999999999
Revenue Growth 5yr,0.1758934
Dividend Growth 5yr,-0.13994109999999998
Short Int Current Month,927728.0
Short Int Prev Month,922353.0
Short Int Pct of Float,0.011007499999999998
Days to Cover,3.34818
Float,84.30344
Shares Outstanding,95.55046
Institutions Holding Shares,401.0
FCF Growth 5yr,-1.0777484985806378
"Price/Earnings (TTM, GAAP)",18.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0613
Operating Profit Margin (TTM),0.0146
Net Profit Margin (TTM),0.0089
Annual Dividend Yield,0.0116
Dividend Change %,-0.5
"Dividend Growth Rate, 3 Years",-0.34140000000000004
EPS Growth (MRQ),0.0031
EPS Growth (TTM),-0.2639
Revenue Growth (MRQ),0.005699999999999999
Revenue Growth (TTM),1.7894
Return On Equity (TTM),0.10800000000000001
Return On Assets (TTM),0.0278
Return On Investment (TTM),0.0559
Revenue Per Employee (TTM),2804869.0
Total Debt/Total Capital (MRQ),0.3473
Change in Debt/Total Capital Quarter over Quarter,-0.0063
Quick Ratio (MRQ),0.64
Interest Coverage (MRQ),5.52
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-16 00:00:00
theStreet since,2022-09-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-11 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
