,NX
% Below High,0.0759
% Held by Institutions,0.9795999999999999
52-Wk Range,['18.00 - 25.94']
Annual Dividend $,0.32
Annual Dividend %,0.0134
Ask,28.29
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,23.18
Bid Size,300.0
Change Since Close,0.23| |(0.96%)
Closing Price,23.97
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",1.74
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.375
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,24.2
Market Cap,795.8M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.77
Prev Close,23.97
Short Interest,0.038
Today's Open,
Volume,20.0
Volume 10-day Avg,108391.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,1.7752808988764048
Growth 1yr High Est,1.6842105263157894
Growth 1yr Consensus Est,1.729745712596097
Growth 2yr Low Est,0.7965473320292955
Growth 2yr High Est,0.8519091847265222
Growth 2yr Consensus Est,0.8242282583779088
Growth 5yr Low Est,0.39827366601464775
Growth 5yr High Est,0.4259545923632611
Growth 5yr Consensus Est,0.4121141291889544
Growth 5yr Actual/Est,0.2782256717061471
Growth 3yr Historic,0.17913837011884554
Price/Earnings (TTM),13.76747
Price/Sales (TTM),0.65861
Price/Book (MRQ),1.76362
Price/Cash Flow (TTM),8.04486
5yr Low,7.9
5yr High,29.02
5yr Avg Return,0.051800000000000006
EPS Growth 5yr,
Revenue Growth 5yr,0.0292579
Dividend Growth 5yr,0.1486984
Short Int Current Month,1236929.0
Short Int Prev Month,1284801.0
Short Int Pct of Float,0.037974299999999996
Days to Cover,9.93805
Float,32.57282
Shares Outstanding,33.12925
Institutions Holding Shares,230.0
FCF Growth 5yr,-1.6434122400609041
"Price/Earnings (TTM, GAAP)",13.77
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2206
Operating Profit Margin (TTM),0.0911
Net Profit Margin (TTM),0.0481
Annual Dividend Yield,0.0134
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.1696
EPS Growth (MRQ),-0.49840000000000007
EPS Growth (TTM),1.6863
Revenue Growth (MRQ),0.0034999999999999996
Revenue Growth (TTM),0.1641
Return On Equity (TTM),0.1355
Return On Assets (TTM),0.0793
Return On Investment (TTM),0.0998
Revenue Per Employee (TTM),312367.0
Total Debt/Total Capital (MRQ),0.1116
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),53.35
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-12-11 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
