,YELP
Price/Earnings (TTM),56.7827
Price/Sales (TTM),1.78439
Price/Book (MRQ),2.97504
Price/Cash Flow (TTM),22.76583
5yr Low,12.89
5yr High,52.5
5yr Avg Return,-0.06276666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0758015
Dividend Growth 5yr,
Short Int Current Month,2938121.0
Short Int Prev Month,2823866.0
Short Int Pct of Float,0.0443377
Days to Cover,2.45677
Float,66.22557
Shares Outstanding,69.70231
Institutions Holding Shares,319.0
% Held by Institutions,0.9406
FCF Growth 5yr,0.1631839201350124
